Keys,"Українська [ua-UA]"
ADVENTURE_ACHIEVEMENT_1_4_KillSpittingDrakes_1,"Без зубів?"
ADVENTURE_ACHIEVEMENT_1_4_KillSpittingDrakes_1_DESC,"Убити 10 Шиплячих дрейків"
ADVENTURE_ACHIEVEMENT_1_4_KillSpittingDrakes_2,"Червона Смерть"
ADVENTURE_ACHIEVEMENT_1_4_KillSpittingDrakes_2_DESC,"Убити 75 Шиплячих дрейків"
ADVENTURE_ACHIEVEMENT_1_4_KillSunDemons_1,"Кошмар"
ADVENTURE_ACHIEVEMENT_1_4_KillSunDemons_1_DESC,"Убити 10 Сонячних демонів"
ADVENTURE_ACHIEVEMENT_1_4_KillSunDemons_2,"Той, хто несе ніч"
ADVENTURE_ACHIEVEMENT_1_4_KillSunDemons_2_DESC,"Убити 75 Сонячних демонів"
ADVENTURE_ACHIEVEMENT_1_4_UnlockLocations,"Великий дикий край"
ADVENTURE_ACHIEVEMENT_1_4_UnlockLocations_Desc,"Досягти Гребінь Орла"
ADVENTURE_ACHIEVEMENT_1_5_KillNightDemonLight,"Чемпіон світанку"
ADVENTURE_ACHIEVEMENT_1_5_KillNightDemonLight_Desc,"Убийте 20 Нічних Демонів використовуючи стихію Світла"
ADVENTURE_ACHIEVEMENT_1_5_KillStoneGolems_1,"Кувалда"
ADVENTURE_ACHIEVEMENT_1_5_KillStoneGolems_1_DESC,"Убити 10 Кам'яних Големів"
ADVENTURE_ACHIEVEMENT_1_5_KillStoneGolems_2,"Бульдозер"
ADVENTURE_ACHIEVEMENT_1_5_KillStoneGolems_2_DESC,"Убити 50 Кам'яних Големів"
ADVENTURE_ACHIEVEMENT_1_5_KillSunDemonDark,"Чемпіон сутінків"
ADVENTURE_ACHIEVEMENT_1_5_KillSunDemonDark_Desc,"Убити 20 Сонячних Демонів використовуючи стихію Темряви"
ADVENTURE_ACHIEVEMENT_1_5_TrapKills,"Ідіть сюди"
ADVENTURE_ACHIEVEMENT_1_5_TrapKills_Desc,"Убити 20 ворогів за допомогою пасток"
ADVENTURE_ACHIEVEMENT_1_5_UnlockLocations,"Подорож туди й назад"
ADVENTURE_ACHIEVEMENT_1_5_UnlockLocations_Desc,"Досягти Дикий Шпиль"
ADVENTURE_ACHIEVEMENT_2_1_HealPoisonWound,"Я ще не помер!"
ADVENTURE_ACHIEVEMENT_2_1_HealPoisonWound_Desc,"Вилікуйте Отруєння або Рану 40 разів"
ADVENTURE_ACHIEVEMENT_2_1_InfuseElements,"Елементарно"
ADVENTURE_ACHIEVEMENT_2_1_InfuseElements_Desc,"Підвищіть 100 стихій"
ADVENTURE_ACHIEVEMENT_2_1_KillEarthDemons_1,"Незручність рудокопа"
ADVENTURE_ACHIEVEMENT_2_1_KillEarthDemons_1_Desc,"Убити 10 Земляних Демонів"
ADVENTURE_ACHIEVEMENT_2_1_KillEarthDemons_2,"Муляр"
ADVENTURE_ACHIEVEMENT_2_1_KillEarthDemons_2_Desc,"Убити 75 Земляних Демонів"
ADVENTURE_ACHIEVEMENT_2_1_KillFlameDemons_1,"Гасимо вогонь"
ADVENTURE_ACHIEVEMENT_2_1_KillFlameDemons_1_Desc,"Убити 10 Вогняних демонів"
ADVENTURE_ACHIEVEMENT_2_1_KillFlameDemons_2,"Перетворити на попіл"
ADVENTURE_ACHIEVEMENT_2_1_KillFlameDemons_2_Desc,"Убити 75 Вогняних демонів"
ADVENTURE_ACHIEVEMENT_2_1_KillFrostDemons_1,"Холодний прийом"
ADVENTURE_ACHIEVEMENT_2_1_KillFrostDemons_1_Desc,"Убити 10 Морозних Демонів"
ADVENTURE_ACHIEVEMENT_2_1_KillFrostDemons_2,"Морозний жар"
ADVENTURE_ACHIEVEMENT_2_1_KillFrostDemons_2_Desc,"Убити 75 Морозних Демонів"
ADVENTURE_ACHIEVEMENT_2_1_KillSavvasIcestorms_1,"Радий знайомству"
ADVENTURE_ACHIEVEMENT_2_1_KillSavvasIcestorms_1_Desc,"Убити 10 Саввас «Крижаний шторм»"
ADVENTURE_ACHIEVEMENT_2_1_KillSavvasIcestorms_2,"Я тану!"
