Keys,"Українська [ua-UA]"
SCENARIO_STORY_BANDITCOMMANDER_START_3,"У чомусь ви маєте рацію....Почекай-но, хто там?"
SCENARIO_STORY_BANDITCOMMANDER_START_4,"Вас виявили, час атакувати!"
SCENARIO_STORY_BANDITCOMMANDER_SUCCESS_1,"Храм Temple of the Ashes знову занурюється в тишу. Ви вирішуєте, що так і має бути, і запечатуєте вхід, йдучи звідси."
SCENARIO_STORY_BEASTTYRANT_1_Room_2_1,"Печера веде в каналізаційну систему. Уся система прогнила."
SCENARIO_STORY_BEASTTYRANT_1_START_1,"Ну, це для мене щось новеньке, змії-союзники?"
SCENARIO_STORY_BEASTTYRANT_1_START_2,"Зазвичай я б зітхнув із полегшенням, але не з цими жахливими штуковинами в кімнаті!"
SCENARIO_STORY_BEASTTYRANT_1_SUCCESS_1,"Коли останні залишки Гнилі знищено, ви зітхаєте з полегшенням, ця печерна мережа була очищена."
SCENARIO_STORY_BEASTTYRANT_2_Room_2_1,"Ось каналізація, з якої поширюється Гниль, її потрібно очистити."
SCENARIO_STORY_BEASTTYRANT_2_SM1_DESC,"Усі вороги починають роззброєними"
SCENARIO_STORY_BEASTTYRANT_2_START_1,"Цього разу ми застали їх зненацька, швидко атакуйте, поки вони обеззброєні!"
SCENARIO_STORY_BEASTTYRANT_2_SUCCESS_1,"Інша частина світу вільна від Гнилі, але де ще вона пошириться?"
SCENARIO_STORY_BEASTTYRANT_3_START_1,"Ці Нестерпні жахи прибуватимуть і далі, нам потрібно якнайшвидше доставити сюди ведмедів!"
SCENARIO_STORY_BEASTTYRANT_3_START_2,"Все ж ведмеді, як відомо, повільні!"
SCENARIO_STORY_BEASTTYRANT_3_START_3,"У такому разі ми повинні дійсно спробувати дати їм поштовх!"
SCENARIO_STORY_BEASTTYRANT_3_SUCCESS_1,"Коли більшість Жахів мертві, вони все ж перестають прибувати і ви можете вільно досліджувати систему печер."
SCENARIO_STORY_BERSERKER_1_Room_2_1,"Я щось не пригадую, щоб у міської варти були службові гончаки."
SCENARIO_STORY_BERSERKER_1_Room_2_2,"Ми, е-е, міська варта! І ми кажемо, зупиніться іменем Міста!"
