Keys,"Українська [ua-UA]"
PERSONALQUEST_Take_Back_the_Trees_Desc,"<b>успішно завершити 3 різні сценарії в Кинджальному лісі, після чого стане доступним сценарій ""Туманні зарості"". Потім пройти до кінця його сюжетну лінію.<br><br>Вони прийшли у ваше село, заявивши, що цей ліс належить їм, і зажадали данину. Ви відбилися від них, але ненадовго: розбійники повернулися більшою кількістю. Тепер усі ваші друзі та члени сім'ї або мертві, або стали їхніми рабами. Ви повинні зібрати підмогу, виявити їхнє укриття і відновити справедливість."
PERSONALQUEST_Take_Back_the_Trees_Objective_Desc,"Успішно завершити 3 різні сценарії в Кинджальному лісі, після чого стане доступним сценарій ""Туманні зарості"". Потім пройти до кінця його сюжетну лінію."
PERSONALQUEST_Take_Back_the_Trees_Objective_PROGRESS_TOOLTIP,"Завдань у Кинджальному лісі завершено:"
PERSONALQUEST_Take_Back_the_Trees_Objective_PROGRESS_TOOLTIP_EMPTY,"Таких не було."
PERSONALQUEST_Take_Back_the_Trees_Objective_Step0_Desc,"Успішно завершити 3 різні сценарії в Кинджальному лісі (прогресивна ЦІЛЬ)"
PERSONALQUEST_Take_Back_the_Trees_Objective_Step1_Desc,"Успішно завершити сценарій ""Туманні зарості""."
PERSONALQUEST_Take_Back_the_Trees_Objective_Step2_Desc,"Успішно завершити сценарій ""Розбійницька пуща""."
PERSONALQUEST_Take_Back_the_Trees_PROGRESS_COMPLETED_STEP_0,"Ти майже переконав себе, що все це було несправжнім, що ти просто побачив те, що хотів. Однак, повернувшись у той ліс, ви знаєте, що бачили: спосіб знайти тих, хто знищив ваше село, і все виправити. Спосіб відновити дерева."
PERSONALQUEST_The_Fall_of_Man,"Гріхопадіння"
PERSONALQUEST_The_Fall_of_Man_COMPLETED,"Після розгадки цієї трагічної таємниці в історії Похмурої Гавані та звільнення душ від їхньої давньої долі, ви відчуваєте, як почуття обов'язку починає змішуватися з вашою цікавістю. Ви прощаєтеся з іншими найманцями і плануєте присвятити себе не тільки тому, щоб дізнатися більше про тих, хто був раніше, а й визволенню всіх інших, які потрапили в пастку міжпланарної магії. Що б ви не виявили, тепер ви впевнені, що в цьому місті більше тих, хто застряг між світами, ніж будь-хто міг собі уявити."
PERSONALQUEST_The_Fall_of_Man_Desc,"<b>успішно завершити 2 різних сценарії у Вічнотопкому болоті, після чого стане доступним сценарій ""Зникаючий маяк"". Потім пройти до кінця його сюжетну лінію.<br><br>Існує багато доказів і вони всюди, просто у вас під носом. Головне - знати, де і як їх шукати. Міста побудовані на рештках чогось більш давнього. До вас тут були й інші. але потім вони зникли. Ви маєте з'ясувати що ж із ними сталося."
PERSONALQUEST_The_Fall_of_Man_Objective_Desc,"Успішно завершити 2 різні сценарії у Вічнотопкому болоті, після чого стане доступним сценарій ""Зникаючий маяк"". Потім пройти до кінця його сюжетну лінію."
PERSONALQUEST_The_Fall_of_Man_Objective_PROGRESS_TOOLTIP,"Завдання у Вічнотопкому болоті завершено:"
PERSONALQUEST_The_Fall_of_Man_Objective_PROGRESS_TOOLTIP_EMPTY,"Таких не було."
PERSONALQUEST_The_Fall_of_Man_Objective_Step0_Desc,"Виконати 2 сценарії у Вічнотопкому болоті (прогресивна ЦІЛЬ)"
PERSONALQUEST_The_Fall_of_Man_Objective_Step1_Desc,"Успішно завершити сценарій ""Зникаючий маяк""."
PERSONALQUEST_The_Fall_of_Man_Objective_Step2_Desc,"Успішно завершити сценарій ""Колодязь душ""."
PERSONALQUEST_The_Fall_of_Man_PROGRESS_COMPLETED_STEP_0,"Ні, це не твій розум зіграв з тобою злий жарт, і не згубні наслідки магії, спрямованої проти тебе, і навіть не дивні запахи болота. Ви знаєте, що ви бачили, і ви знаєте, що це означає - навіть якщо це тривало всього секунду, ви бачили щось, залишене тими, хто прийшов раніше. Саме вам належить знайти це знову і розгадати таємниці всередині."
PERSONALQUEST_The_Perfect_Poison,"Ідеальна отрута"
PERSONALQUEST_The_Perfect_Poison_COMPLETED,"Усе скінчено. Ніколи ще не було такої майстерної суміші, такого прекрасного токсину. Екзотичні істоти Похмурої Гавані справді є одними з найкращих досягнень природи, і тепер вони дозволили вам зробити своє найкраще досягнення: ідеальну отруту. Ви не впевнені, чому чи як, але ви не можете позбутися відчуття, що, можливо, зайшли надто далеко, наче ви принесли хворобу в це місто, чуму. Ви вирішуєте, що найкраще піти й уникнути наслідків своїх дій."
PERSONALQUEST_The_Perfect_Poison_Desc,"<b>убити 3 слизу, 3 скритнів і 3 шиплячих дрейків.</b><br><br>Створення отрут - особливе мистецтво. Якщо художник знає безліч способів нанесення фарби на полотно, то творець отрут знає безліч способів отруїти. Донедавна ви були задоволені попередніми результатами, але цього разу ви вирішили створити справжній шедевр. Ходять чутки про різних химерних істот в околицях Похмурої гавані. Якщо вам вдасться зібрати кілька зразків, ви створите отруту, яку пам'ятатимуть багато поколінь."
PERSONALQUEST_The_Perfect_Poison_Objective_Desc,"Убити 3 слизи, 3 скритнів і 3 шиплячих дрейків."
PERSONALQUEST_The_Perfect_Poison_Objective_PROGRESS_TOOLTIP,"Слимаків, потайок і дрейків, що шиплять, вбито:"
PERSONALQUEST_The_Perfect_Poison_Objective_PROGRESS_TOOLTIP_EMPTY,"Серед убитих таких не було."
PERSONALQUEST_The_Thin_Places,"Дуже дивні місця"
PERSONALQUEST_The_Thin_Places_COMPLETED,"Хоча ви зробили все, що могли, повітря залишається тоншим, ніж будь-коли. Однак ви дізналися, що на іншому боці є щось, що спостерігає за Похмурою Гаванню, бавиться з нею. Допоки ви не дізнаєтеся більше, ви нічого не зможете зробити - тож ви поспішно залишаєте своїх товаришів-найманців, покидаючи це місто в пошуках потрібних знань, щоб урятувати його. Одне можна сказати напевно: ті, хто живе між планами, ще не закінчили з Похмурою Гаванню..."
PERSONALQUEST_The_Thin_Places_Desc,"<b>успішно завершити 6 різних побічних сценаріїв. (у базовій грі)</b><br><br>Щось є дуже дивне в повітрі Похмурої гавані. Навіть радше не в самому повітрі, а десь за межею реальності...<br>Ніби щось намагається вирватися назовні з інших вимірів. Це не давало вам спокою, тож ви вирішили відвідати кілька місць на околицях і докладніше вивчити це явище, і, якщо посміхнеться удача, вам вдасться це зупинити."
PERSONALQUEST_The_Thin_Places_Objective_Desc,"Успішно завершити 6 різних побічних сценаріїв. (у базовій грі)"
PERSONALQUEST_The_Thin_Places_Objective_PROGRESS_TOOLTIP,"Побічних завдань виконано:"
PERSONALQUEST_The_Thin_Places_Objective_PROGRESS_TOOLTIP_EMPTY,"Побічних завдань не було."
PERSONALQUEST_Trophy_Hunt,"Полювання за трофеями"
PERSONALQUEST_Trophy_Hunt_COMPLETED,"О, ті тварюки, яких ти вбив. Коли ви починали цю пригоду, ви й гадки не мали, які істоти ховаються в темряві, які випробування представлять вони. Ви вбивали істот, про яких ніколи не думали, але тепер ви побачили все, що може запропонувати Похмура Гавань, і ви майже впевнені, що тут більше немає чудовиськ, які могли б кинути вам виклик. Ви наповнюєте маленький візок своїми трофеями і залишаєте Похмуру Гавань. На вас чекає нове полювання."
PERSONALQUEST_Trophy_Hunt_Desc,"<b>убити 20 типів різних монстрів. (у базовій грі)</b><br><br>Ви пам'ятаєте той перший раз, коли пущена з вашого лука стріла пронизала серце лані, вбивши її наповал. І те саме відчуття, коли ви перевершуєте здобич на її власній території. Але лань - занадто легка здобич. У дикій місцевості водяться куди більш небезпечні вороги, яким ви бажаєте кинути виклик. Ви не полюєте заради вбивства - ви вбиваєте, тому що такі правила полювання."
PERSONALQUEST_Trophy_Hunt_Objective_Desc,"Убити 20 типів різних монстрів. (у базовій грі)"
PERSONALQUEST_Trophy_Hunt_Objective_PROGRESS_TOOLTIP,"Типів монстрів убито:"
PERSONALQUEST_Trophy_Hunt_Objective_PROGRESS_TOOLTIP_EMPTY,"Монстрів убито не було."
PERSONALQUEST_Vengeance,"Помста"
PERSONALQUEST_Vengeance_COMPLETED,"Порожнеча - це те, чого ви ніколи не планували. З того самого дня в хатині ви не можете позбутися цього заціпенілого, порожнього почуття. Помста за твого найкращого друга мала б змусити тебе знову відчути себе самим собою, але вона лише позбавила тебе мотивації, почуття власної гідності. Настав час покинути Похмуру Гавань, вирішуєте ви, і шукати себе десь там: у вас було достатньо таємниць для одного життя."
PERSONALQUEST_Vengeance_Desc,"<b>успішно завершити 4 різні сценарії в Похмурій гавані (у базовій грі), після чого стане доступним сценарій ""Розслідування"". Потім пройти до кінця його сюжетну лінію. (прогресивна ЦІЛЬ)</b><br><br>Варто лише заплющити очі, як ви знову уявляєте вас разом - двох щасливих дітей, які безтурботно граються. Розплющивши очі, ви знову розумієте, що ваш найкращий друг мертвий. Варта стверджує, що це був нещасний випадок. на ви знаєте - це не так. Винні мають бути знайдені, а помста - здійснена. Часом кров породжує ще більше крові."
PERSONALQUEST_Vengeance_Objective_Desc,"<b>Успішно завершити 4 різні сценарії в Похмурій гавані (у базовій грі), після чого стане доступним сценарій ""Розслідування"". Потім пройти до кінця його сюжетну лінію. (прогресивна ЦІЛЬ)</b><br><br>Варто лише заплющити очі, як ви знову уявляєте вас разом - двох щасливих дітей, які безтурботно граються. Відкривши очі, ви знову розумієте, що ваш найкращий друг мертвий. Варта стверджує, що це був нещасний випадок. на ви знаєте - це не так. Винні мають бути знайдені, а помста - здійснена. Часом кров породжує ще більше крові."
PERSONALQUEST_Vengeance_Objective_PROGRESS_TOOLTIP,"Виконано міських завдань у Похмурій гавані:"
PERSONALQUEST_Vengeance_Objective_PROGRESS_TOOLTIP_EMPTY,"Не було міських завдань."
PERSONALQUEST_Vengeance_Objective_Step0_Desc,"Успішно завершити 4 різні сценарії в Похмурій гавані (у базовій грі), після чого стане доступним сценарій ""Розслідування"". Потім пройти до кінця його сюжетну лінію. (прогресивна ЦІЛЬ)"
PERSONALQUEST_Vengeance_Objective_Step1_Desc,"Успішно завершити сценарій ""Розслідування""."
PERSONALQUEST_Vengeance_Objective_Step2_Desc,"Успішно завершити сценарій ""Кривава хатина""."
PERSONALQUEST_Vengeance_PROGRESS_COMPLETED_STEP_0,"Ви знайшли його поруч із мертвим розбійником після бою - маленький і переповнений гаманець із монетами, адресований тій самій людині, на яку вказувала ваша зростаюча кількість доказів. На зворотному боці етикетки просто було написано ""хабар"" брудним почерком і був нанесений символ місцевого розбійницького клану. Це був останній шматочок головоломки, який вам був потрібен, щоб підтвердити свої підозри: тепер ви впевнені в тому, хто дозволив вашому другу померти, і ви так чи інакше отримаєте відповіді на свої запитання."
PERSONALQUEST_Zealot_of_the_Blood_God,"Фанатик кривавого бога"
PERSONALQUEST_Zealot_of_the_Blood_God_COMPLETED,"Була потрібна жертва і жертву було принесено, але тепер ваше служіння здійснилося. Бог крові показав тобі, що ти більше не потрібен і тепер ти повинен знайти свій власний шлях. Поважаючи бажання свого бога, тим не менш, ви не можете позбутися почуття, що вас зрадили через те, як мало значила ваша відданість. Залишаючи місто, ви вирішуєте, що відтепер житимете мирним життям - можливо, навіть купите ферму. Що б не сталося, Кривавому богу доведеться знайти нового фанатика в Похмурій Гавані."
PERSONALQUEST_Zealot_of_the_Blood_God_Desc,"<b>стати виснаженим 12 разів.</b><br><br>Усі ці нікчемні мурашки носяться туди-сюди у своїх нікчемних справах. Ніхто з них і гадки не має, що таке справжня прихильність вірі. Вірувати - означає віддавати всього себе без залишку заради вищої мети. Шанувати стародавні письмена, які вимагають жертв. Тільки смерть у битві відродить кривавого бога. Так лягайте ж кістьми в кожній битві! Коли нічого не залишиться на вас чекатиме вічність."
PERSONALQUEST_Zealot_of_the_Blood_God_Objective_Desc,"Стати виснаженим 12 разів."
PERSONALQUEST_Zealot_of_the_Blood_God_Objective_PROGRESS_TOOLTIP,"Число виснажень:"
PERSONALQUEST_Zealot_of_the_Blood_God_Objective_PROGRESS_TOOLTIP_EMPTY,"Ви ще не були виснажені."
POISONED FLAME,"Отруєне полум'я"
PORTAL_DESCR_TOOLTIP,"Завершення руху на Порталі перенесе персонажа в інший пов'язаний портал."
PORTAL_TOOLTIP,"Портал"
PRESSURE_PLATE_TOOLTIP,"Натискна плита"
Performs,"Виконують"
Perk,"Навичка"
Pierce,"ПРОБІЙ"
PierceShort,"ПРОБІЙ"
PlagueRat,"Зграя щурів"
Plagueherald,"Моровісник"
Plagueherald_ADVENTURE_DESCRIPTION,"Або помиляючись, або не знаючи фізіології інших рас, Моровісники вірять, що поширення хвороби по всьому суспільству зміцнить його і підштовхне до великих звершень. Слід остерігатися союзу з Моровісником. Їхня здатність поширювати розкладання і смерть по обидва боки поля бою - воістину жахлива річ."
Plagueherald_DIFFICULTY,"Середня"
Plagueherald_ROLE,"Дальня Шкода/Підтримка"
Plagueherald_STRENGTHS,"- <indent=%15>здатний атакувати групи ворогів</indent><br>- <indent=%15>Ефективний на дистанції</indent><br>- <indent=%15>Значно послаблює ворогів Отрутами і Прокляттями</indent>"
Plagueherald_WEAKNESSES,"- <indent=%15>здібності не розрізняють своїх і чужих</indent><br>- <indent=%15>слабка ефективність проти сильних одиночних цілей</indent><br>- <indent=%15>Брачні ритуали Женців... огидні</indent>"
PlaySong,"Грати пісню"
Poison,"Отруєння"
PoisonMine,"Пастка"
PoisonShort,"ОТРУЄННЯ"
Polish,"Польський"
PreventDamage,"Уникнення шкоди"
PriestessDialogName,"Хранитель Дуба"
PrimeDemon,"Архідемон"
PrimeLieutenant,"Лейтенант-командир"
Pull,"ПРИТЯНУТИ"
Push,"ПОШТОВХ"
QUEST_JOB_AnEyeForAnEye_DESC,"Культисти здійснили набіг на розбійницький табір і забрали багатьох із тих, хто там жив. Розбійниця-лучниця жадає помсти."
QUEST_JOB_AnEyeForAnEye_INTRO,"Незвично, що з вами зв'язалася розбійниця, яка шукає ваших послуг. Сектанти напали на її табір і вбили або викрали багатьох її друзів. Її банда тепер розпущена, але вона хоче помститися культистам, які вбили їх усіх. Ви зустрінете її біля входу в лігво культистів, де вона вже зняла пару їхніх охоронців. Ви йдете всередину разом з нею, щоб закінчити роботу."
QUEST_JOB_AnEyeForAnEye_LIST,"Допоможіть Розбійниці-лучниці здійснити свою помсту"
QUEST_JOB_AnEyeForAnEye_NAME,"Око за око"
QUEST_JOB_CallOfTheWild_DESC,"Напади диких тварин посилилися в цьому районі, йдіть їхнім слідом і знищіть лігво істот."
QUEST_JOB_CallOfTheWild_INTRO,"У міру розвитку цивілізації вона часто конфліктує з природою й іноді внаслідок цих зіткнень гине багато людей. Це один із таких випадків, хоча причина очевидна за всіма слідами від укусів і кігтів на жертвах. Вам заплатили, щоб вистежити диких тварин, які зробили це, що досить просто: стежка веде до входу в печеру на сусідньому схилі пагорба."
QUEST_JOB_CallOfTheWild_LIST,"Дикі істоти сіють хаос у тутешніх місцях"
QUEST_JOB_CallOfTheWild_NAME,"Поклик природи"
QUEST_JOB_DemonAltars_DESC,"Демони тероризують місцевий район. Знайдіть джерело вторгнення."
QUEST_JOB_DemonAltars_INTRO,"Ви отримали тривожні повідомлення про групи жахливих істот, які увірвалися в місцеве село. Після прибуття ви дізнаєтеся, що село лежить у руїнах і кишить демонами. Сільський житель помічає вас, коли вони тікають, і ненадовго зупиняється, стверджуючи, що найближча печера - лігво демонів. Ви спостерігаєте за входом і бачите, як з нього виходить група демонів. Переконавшись, що ви знайшли їхнє джерело, ви прокрадаєтеся всередину..."
QUEST_JOB_DemonAltars_LIST,"Розслідувати нещодавні появи демонів"
QUEST_JOB_DemonAltars_NAME,"Розквіт Пекла"
QUEST_JOB_DemonicDissent_DESC,"Під землею чути дивні гуркіт і вибухи, жителі села налякані і просять про допомогу."
QUEST_JOB_DemonicDissent_INTRO,"Ви відвідуєте місцеве місто і чуєте, що останнім часом воно потерпає від низки підземних поштовхів, від незначних, до таких, що зруйнували невеликі будівлі. Мешканці села стурбовані тим, що стає дедалі гірше, і хочуть, щоб хтось хоробрий міг піти на розвідку. Завжди ходили чутки про демонічний розлом, що стався сотні років тому, але ніяких демонів тут ніколи не бачили. Однак ходять чутки, що курган знаходиться за містом. Ви прямуєте на місце, і курган досить легко знайти: на його поверхні є тріщини, і багато поваленого ґрунту. Ви копаєтеся в землі, знаходите стародавній отвір і протискуєтеся всередину. Дивні знаки вкривають стіни: схоже, це справді володіння демонів. Ви насторожі."
QUEST_JOB_DemonicDissent_LIST,"Дослідіть підземні поштовхи в цьому районі"
QUEST_JOB_DemonicDissent_NAME,"Обурення демонів"
QUEST_JOB_DungeonOfMisfortune_DESC,"Склеп обіцяє багатство тим, хто досліджує його глибини."
QUEST_JOB_DungeonOfMisfortune_INTRO,"З'явився склеп з інтригуючою табличкою над входом: ""Ласкаво просимо в Підземелля Нещастя. У цих стінах знаходиться скриня з гарантованим скарбом, але ви маєте вбити достатньо ворогів, щоб отримати нагороду!"". Що ж, треба спробувати!"
