Keys,"Українська [ua-UA]"
LOADING_TIP_034,"Оглушені <sprite name=Stun> персонажі зобов'язані все ще вибрати карти для свого ходу, які вони потім просто скидають.<br>Довгий відпочинок виконується як зазвичай."
LOADING_TIP_035,"СУМ\'ЯТТЯ <sprite name=Muddle> спричиняє отримання УСКЛАДНЕННЯ на всі атаки до кінця наступного ходу персонажа."
LOADING_TIP_036,"<nobr>ПРОКЛЯТТЯ <sprite name=Curse></nobr> додає карту ПРОКЛЯТТЯ (x0) у колоду карт модифікаторів атаки ЦІЛІ.<br>Будучи застосованим до атаки зводить у нуль всю шкоду, що наноситься, після цього цей жетон видаляється з колоди модифікаторів атаки."
LOADING_TIP_037,"Невидимі <sprite name=Invisible> персонажі не можуть стати ЦІЛЛЮ фокусу, а також обрані як ЦІЛЬ ворогами до кінця ходу цих персонажів.<br>Також монстри вважають невидимих персонажів як перешкоди."
LOADING_TIP_038,"Невидимі <sprite name=Invisible> персонажі все ще можуть бути пошкоджені атаками, що не вимагають виділення ЦІЛІ, також невидимість не впливає на взаємодію з союзниками."
LOADING_TIP_039,"<nobr>ПОСИЛЕННЯ <sprite name=Strengthen></nobr> дарує перевагу персонажу для всіх його атак до кінця його наступного ходу."
LOADING_TIP_040,"<nobr>БЛАГОСЛОВЕННЯ <sprite name=Bless></nobr> додає карту Благословення (x2) до колоди модифікаторів ЦІЛІ.<br>Атака з даним модифікатором завдає подвоєної шкоди, після цього цей жетон модифікатора видаляється з колоди."
LOADING_TIP_041,"Монстри ділять між собою колоду модифікаторів атаки і цілком може бути, що БЛАГОСЛОВЕННЯ або ПРОКЛЯТТЯ витягне зовсім інший монстр."
LOADING_TIP_042,"Здібності, що видаляють негативні стани (Зілля зцілення, наприклад), не видаляють ПРОКЛЯТТЯ з колоди модифікаторів."
LOADING_TIP_043,"Тільки 10 Проклять можуть бути сумарно поміщені в колоди модифікаторів атаки найманців і монстрів.<br>Якщо потрібно додати ще одне, то ця дія не матиме ефекту!"
LOADING_TIP_044,"Тільки 10 Благословень можуть бути поміщені в колоду модифікаторів атаки найманців і монстрів.<br>Якщо потрібно додати ще одне, то ця дія не матиме ефекту!"
LOADING_TIP_045,"Залишилися лише з парою карт у скиданні? Перепочинок призведе до виснаження.<br>Виконайте краще довгий відпочинок - побудьте хоча б м'ясним щитом в останній раунд."
LOADING_TIP_046,"Під час гри в мультиплеєрі ви можете ділитися з друзями цифрами ініціативи і точно описувати свої дії.<br>У цьому випадку рекомендується підняти складність на 1, згідно з правилами оригінальної настільної гри."
