Keys,"Українська [ua-UA]"
Quest_Campaign_085_LIST,"Дослідіть Храм Сонця"
Quest_Campaign_085_NAME,"Храм сонця"
Quest_Campaign_086_DESC,"Що поширює хворобу по Похмурій гавані?"
Quest_Campaign_086_INTRO,"Крюкомор'я - це жменька застарілих хатин на південь від Похмурої гавані, де мешкають здебільшого лише бідні рибалки. Цей небезпечний район на відшибі, без захисту міських стін, давно вже став для Вермлінгів ласою здобиччю. Їхні набіги щоразу розгортаються за одним і тим самим сценарієм: Вермлінги нападають, жителі села рятуються втечею в море на своїх рибальських човнах, міська варта проганяє Вермлінгів, а потім жителі повертаються, щоб відновити зруйновані хатини.<br><br>Хоч ви й не очікували опинитися тут у розпал набігу, шанси на це були досить великі. Щоправда, зараз вас куди більше турбують хворі селяни, які не в змозі втекти, щоб сховатися від Вермлінгів.<br><br>Якщо ви хочете більше дізнатися про цю хворобу, вам потрібно подбати про те, щоб якомога більше жителів села дісталися до своїх човнів."
Quest_Campaign_086_LIST,"Розкрийте джерело хвороби"
Quest_Campaign_086_NAME,"Розграбоване село"
Quest_Campaign_087_DESC,"Рибалки Крюкомор'я відстежили забруднення води..."
Quest_Campaign_087_INTRO,"Ви сповнені рішучості знайти джерело цієї гидоти, але з'явившийся перед вами косяк потайок, здається, збирається цьому перешкодити."
Quest_Campaign_087_INTRO_TRAVEL_1,"Оскільки до джерела псування води суходолом ніяк не дістатися, ви прямуєте човном у невелику затоку, з трьох боків оточену стінами високих скель."
Quest_Campaign_087_INTRO_TRAVEL_2,"Біля підніжжя однієї з них ви помічаєте вхід у темну печеру, з якої витікає вода нездорового зеленого кольору."
Quest_Campaign_087_INTRO_TRAVEL_3,"Ви швартуєте човен біля печери і зістрибуєте на кам'яну підлогу, вкриту мерзенним липким слизом."
Quest_Campaign_087_LIST,"Знищіть джерело отрути"
Quest_Campaign_087_NAME,"Злощасне узбережжя"
Quest_Campaign_087_SCENARIO_MODIFIER_1,"Усі найманці починають із 3 Прокляттями"
Quest_Campaign_087_SCENARIO_MODIFIER_2,"Якщо один з персонажів закінчує свій хід на одній з клітинок з водою , він до кінця сценарію отримує властивість ""ЩИТ 2"" для всіх атак будь-якого слизу і несприйнятливість до стану ""ОТРУЄННЯ""."
Quest_Campaign_088_DESC,"Чому посох відкрив портал у Водний вимір?"
Quest_Campaign_088_INTRO,"Проходячи через бар'єр між вимірами, вам здається, ніби вас розриває на частини. Добре, що подорож не затягнулася надовго. Тільки-но ви відкриваєте роти, щоб закричати від болю, як вони наповнюються водою, і, розплющивши очі, ви розумієте, що опинилися на місці. Поки ви розмірковуєте, що робити далі, вас починають оточувати вороже налаштовані істоти."
Quest_Campaign_088_INTRO_TRAVEL_1,"Ви тримаєте в руці посох Закликательки і концентруєтеся на його коливаннях між вимірами."
Quest_Campaign_088_INTRO_TRAVEL_2,"Через безперервний потік води ви спочатку не відчуваєте, що посох ніби запрошує вас перетнути поріг в інший вимір, але поступово ви відчуваєте це все ясніше."
