Keys,"Українська [ua-UA]"
GUI_OBJECTIVE_LOOT_X_WIN_FILTERED,"Обібрати {0} {1} для перемоги"
GUI_OBJECTIVE_REACH_POSITION_LOSE,"Поразка, якщо {0} ворогів досягло виходу"
GUI_OBJECTIVE_REACH_POSITION_WIN,"Досягти виходу хоча б {0} найманцями для перемоги"
GUI_OBJECTIVE_REACH_ROUND_LOSE,"Поразка через {0} раундів"
GUI_OBJECTIVE_REACH_ROUND_WIN,"Виживіть ще {0} раундів"
GUI_OBJECT_WITH_HEALTH,"Об'єкт має здоров'я"
GUI_OK,"OK"
GUI_ON_ATTACK_CONDITIONS_TITLE,"Умови під час атаки"
GUI_ON_DEATH_ADJACENT,"При смерті: Атака <sprite name=Attack> {0}. Цілі - усі сусідні вороги"
GUI_OPEN_DOOR,"Відчинити двері"
GUI_OPTIONS,"Налаштування"
GUI_OPT_AUDIO,"Аудіо"
GUI_OPT_AUDIO_EFFECTS,"Гучність ефектів"
GUI_OPT_AUDIO_MASTER,"Загальна гучність"
GUI_OPT_AUDIO_MUSIC,"Гучність музики"
GUI_OPT_AUDIO_MUTE_IN_BACKGROUND,"Заглушати у фоні"
GUI_OPT_AUDIO_NARRATION,"Гучність оповідача"
GUI_OPT_AUDIO_PING,"Мультиплеєр: Пінг Гравця"
GUI_OPT_COMBAT_LOG,"Журнал бою"
GUI_OPT_COMBAT_LOG_ABILITIES,"Здібності"
GUI_OPT_COMBAT_LOG_CONDITIONS,"Умови та ефекти"
GUI_OPT_COMBAT_LOG_DAMAGE,"Шкода"
GUI_OPT_COMBAT_LOG_DEATHS,"Смерті"
GUI_OPT_COMBAT_LOG_HEALING,"Лікування"
GUI_OPT_COMBAT_LOG_INFUSIONS,"Підвищення стихій"
GUI_OPT_COMBAT_LOG_ITEMS,"Предмети"
GUI_OPT_COMBAT_LOG_MODIFIERS,"Модифікатори"
GUI_OPT_COMBAT_LOG_MULTIPLAYER,"Мультиплеєр"
GUI_OPT_COMBAT_LOG_OFF,"Вимкнути"
GUI_OPT_COMBAT_LOG_ON,"Вкл"
GUI_OPT_CONTROL,"Управління"
GUI_OPT_CONTROL_CAMERA,"Керування камерою"
GUI_OPT_CONTROL_CAMERA_MD,"Вниз"
GUI_OPT_CONTROL_CAMERA_ML,"Ліворуч"
GUI_OPT_CONTROL_CAMERA_MR,"Вправо"
GUI_OPT_CONTROL_CAMERA_MU,"Вгору"
GUI_OPT_CONTROL_CAMERA_RL,"Обертати вліво"
GUI_OPT_CONTROL_CAMERA_RR,"Обертати вправо"
GUI_OPT_CONTROL_CAMERA_ZOOM_IN,"Наблизити"
GUI_OPT_CONTROL_CAMERA_ZOOM_OUT,"Віддалити"
GUI_OPT_CONTROL_CONTROLLER,"Налаштування контролера"
GUI_OPT_CONTROL_CONTROLLER_HIGHLIGHT_HEXES,"Підсвітити клітини"
GUI_OPT_CONTROL_CONTROLLER_SHOW_CARDS,"Показати карти"
GUI_OPT_CONTROL_ENABLE_SECOND_CLICK_HEX_CONFIRM,"Вимога другого клацання на клітці"
GUI_OPT_CONTROL_HOLD_TO_PING,"Затисніть Ctrl і Лівим кліком пінганіть клітину"
GUI_OPT_CONTROL_MOUSE_ROTATE,"Обертання миші"
GUI_OPT_CONTROL_OTHER,"Інше управління"
GUI_OPT_CONTROL_OTHER_DC,"Показати всі карти"
GUI_OPT_CONTROL_OTHER_DC_HERO1,"Показати карти найманця 1"
GUI_OPT_CONTROL_OTHER_DC_HERO2,"Показати карти найманця 2"
GUI_OPT_CONTROL_OTHER_DC_HERO3,"Показати карти найманця 3"
GUI_OPT_CONTROL_OTHER_DC_HERO4,"Показати карти найманця 4"
GUI_OPT_CONTROL_OTHER_HI,"Підсвітити об'єкти"
GUI_OPT_CONTROL_RESET,"Скидання"
GUI_OPT_CONTROL_SCENARIO,"Керування сценарієм"
GUI_OPT_CONTROL_SCENARIO_BURN_2_CARDS,"Спалити 2 карти"
GUI_OPT_CONTROL_SCENARIO_BURN_CARD,"Спалити 1 карту"
GUI_OPT_CONTROL_SCENARIO_CONFIRM,"Підтвердити дію"
GUI_OPT_CONTROL_SCENARIO_SKIP,"Пропустити атаку"
GUI_OPT_CONTROL_SCENARIO_TAKE_DAMAGE,"Отримати шкоду"
GUI_OPT_CONTROL_SCENARIO_UNDO,"Очистити ЦІЛІ/Скасування"
GUI_OPT_CONTROL_SPEED_UP,"Прискорити"
GUI_OPT_CONTROL_TARGETING,"Керування прицілюванням"
GUI_OPT_CONTROL_TARGETING_R,"Обертати"
GUI_OPT_CONTROL_TARGETING_RL,"Обертати вліво"
GUI_OPT_CONTROL_TARGETING_RR,"Обертати вправо"
GUI_OPT_DIFFICULTY,"Змінити складність"
GUI_OPT_GRAPHICS,"Графіка"
GUI_OPT_GRAPHICS_ADVANCED,"Додатково"
GUI_OPT_GRAPHICS_ADVANCED_DISABLE,"Приховати додаткові налаштування"
GUI_OPT_GRAPHICS_ADVANCED_ENABLE,"Показати додаткові налаштування"
GUI_OPT_GRAPHICS_ANISOTROPIC,"Анізотропія текстур"
GUI_OPT_GRAPHICS_ANTIALIASING,"Згладжування"
GUI_OPT_GRAPHICS_BEAUTIFUL,"Чудово"
GUI_OPT_GRAPHICS_CUSTOM,"Своє"
GUI_OPT_GRAPHICS_FANTASTIC,"Фантастично"
GUI_OPT_GRAPHICS_FAST,"Швидше"
GUI_OPT_GRAPHICS_FASTEST,"Швидко"
GUI_OPT_GRAPHICS_FPS,"FPS"
GUI_OPT_GRAPHICS_GOOD,"Добре"
GUI_OPT_GRAPHICS_OTHER,"Інше"
GUI_OPT_GRAPHICS_PIXEL_LIGHT,"Попіксельне освітлення"
GUI_OPT_GRAPHICS_REFLECTION_PROBE,"Зразки відображень у реальному часі"
GUI_OPT_GRAPHICS_RENDER,"Рендеринг"
GUI_OPT_GRAPHICS_SHADOWS,"Тіні"
GUI_OPT_GRAPHICS_SHADOW_RES,"Роздільна здатність тіней"
GUI_OPT_GRAPHICS_SIMPLE,"Прості"
GUI_OPT_GRAPHICS_SKIN_WEIGHT,"Шкірні ваги"
GUI_OPT_GRAPHICS_SOFT_PARTICLES,"М'які частинки"
GUI_OPT_GRAPHICS_TEXTURE_QUALITY,"Якість текстур"
GUI_OPT_GRAPHICS_VSYNC,"Лічильник Vsync"
GUI_OPT_INTERFACE,"Інтерфейс"
GUI_OPT_INTERFACE_ABILITY_FOCUS_OUTLINES,"Вимикати контури здібностей у фокусі"
GUI_OPT_INTERFACE_MOUSE_HOVER_OUTLINES,"Вимикати контури під час наведення мишею"
GUI_OPT_LANGUAGE,"Мова"
GUI_OPT_LANG_APPLY,"Застосування іншої мови вимагає перезавантаження гри"
GUI_OPT_LANG_TITLE,"Потрібна дія"
GUI_OPT_SHARED_GOLD,"Загальне золото"
GUI_OPT_SHARED_GOLD_DESCRIPTION,"Усе золото є спільним для всіх Найманців у Гільдії"
GUI_OPT_SPLIT_GOLD,"Ділити золото"
GUI_OPT_SPLIT_GOLD_DESCRIPTION,"У кожного Найманця є свій гаманець для золота"
GUI_OPT_VIDEO,"Відео"
GUI_OPT_VIDEO_BORDERLESS,"Безрамковий"
GUI_OPT_VIDEO_BORDERLESSWINDOWED,"Без рамки"
GUI_OPT_VIDEO_DISPLAY,"Режим екрану"
GUI_OPT_VIDEO_FULLSCREEN,"Повний екран"
GUI_OPT_VIDEO_RESOLUTION,"Дозвіл"
GUI_OPT_VIDEO_WINDOWED,"У вікні"
GUI_OTHER_PLAYER_RETIREMENT_TOOLTIP,"<size=+2><color=#EACF8C>відхід на спокій</color></size><br>Один із ваших найманців готовий піти на спокій.<br>Клацніть для запуску процедури відходу"
GUI_PARTY,"Група"
GUI_PARTY_ASSEMBLY_ENTER_NAME,"Введіть назву"
GUI_PARTY_ASSEMBLY_ENTER_NAME_CAMPAIGN,"Введіть назву групи"
GUI_PARTY_PRICE,"Ціна: {0} Відомості"
GUI_PARTY_SIZE,"{0} Героїв"
GUI_PASS,"Нв Pass"
GUI_PASSIVE_ATTRIBUTES,"Пасивні Атрибути"
GUI_PASSIVE_ATTRIBUTES_DESCRIPTION,"Пасивні Атрибути дозволяють персонажу ігнорувати особливі негативні ефекти<br>Значок <sprite name=Rolling> - добір модифікатора (див. ""Як грати - Модифікатори атаки"")"
GUI_PERFORM_LONG_REST,"Виконати Довгий відпочинок"
GUI_PERKS,"Навички"
GUI_PERKS_LEGEND_ADD,"Додадуться:"
GUI_PERKS_LEGEND_QUANTITY,"Кількість:"
GUI_PERKS_LEGEND_REMOVE,"Видаляться:"
GUI_PERKS_POINTS,"Доступно очок навичок: {0}"
GUI_PERKS_TOOLTIP,"Ласкаво просимо на екран <b>Навичок</b>. Тут ви можете витратити будь-які <b>очки Навичок</b>, які ви придбали, щоб додати, видалити або замінити наявні <b>модифікатори атаки</b>. Подивіться на свої здібності і предмети і вирішіть, які модифікатори атаки найкраще підходять для вашого персонажа, але будьте обережні: одного разу витрачені очки Навичок не можуть бути скасовані!"
GUI_PERK_CHECK_TOOLTIP,"<size=+2><color=#EACF8C>навички</color></size><br>Заробляйте галочки <sprite name=""PerkPoint_Icon""> виконуючи Бойові Цілі.<br>За кожні 3 галочки ви можете розблокувати 1 Навичку."
GUI_PERK_MODIFIER_ADD,"Додати"
GUI_PERK_MODIFIER_REMOVE,"Прибрати"
GUI_PERK_MODIFIER_REPLACE,"Замінити"
GUI_PERK_MODIFIER_REPLACE_WITH,"на"
GUI_PERSISTENT_BONUSES,"Постійні бонуси"
GUI_PERSONAL_QUEST_COMPLETED,"Особисте завдання завершено!"
GUI_PERSONAL_QUEST_CONCEAL_TOOLTIP,"Інші гравці не зможуть побачити ваше персональне завдання"
GUI_PERSONAL_QUEST_CONCEAL_TOOLTIP_TITLE,"Приховати персональне завдання"
GUI_PERSONAL_QUEST_PROGRESS_COMPLETED,"Етап особистого завдання завершено"
GUI_PERSONAL_QUEST_SHOW_TOOLTIP,"Інші гравці можуть побачити ваше персональне завдання"
GUI_PERSONAL_QUEST_SHOW_TOOLTIP_TITLE,"Показати персональне завдання"
GUI_PLAYER_CONNECTING,"З'єднання..."
GUI_PLAYER_DIE_BANNER,"{0} загинув"
GUI_PLAYER_EXHAUSTED_BANNER,"{0} виснажений"
GUI_PLAYER_OFFLINE,"Не в мережі"
GUI_PLAYER_ONLINE,"Онлайн"
GUI_PLAYING_GAME,"Грає"
GUI_PLAYSTEST_LEVELS,"Рівні Playtest"
GUI_POSITIVE_CONDITIONS,"Позитивні стани"
GUI_PROP_CAN_BE_LOOTED_BY,"{0}"
GUI_PartyGold,"Золотих монет у власності групи."
GUI_PartyGold_Tooltip,"Золотих монет у групи.<br>Усього: {0}"
GUI_PartyLevel,"<size=+4><color=#F1DBAE>рівень групи</color></color></color></size>.<br>Рівень групи: обчислюється як середній рівень групи, поділений на 2 і округлений вгору. Визначає рівень ворогів, шкоду пасток і цінність скарбів у Сценарії."
GUI_PartyProsperity,"Процвітання міста"
GUI_PartyProsperity_Tooltip,"<size=+4><color=#F1DBAE>багатство Похмурої гавані - рівень {0}</color></color></color></size><br>Багатство Похмурої гавані відкриває нові предмети в магазині Торговця і також дозволяє вам створювати нових персонажів рівня, що дорівнює або менший поточного рівня багатства Похмурої гавані.<br>Збільшення процвітання <sprite name=""ProsperityLevel_Icon""> підвищить багатство міста. Процвітання може бути як отримано так і втрачено під час виконання сценаріїв або подій."
GUI_PartyReputation,"Репутація"
GUI_PartyReputation_Tooltip,"<size=+4><color=#F1DBAE>рівень репутації {0}</color><br><color=#{2}><rotate={3}><sprite name=""ReputationLevel_Icon"" color=#{2}></rotate> Модифікатор репутації: {1}<sprite name=""Gold_Icon_White"" color=#{2}></color></size><br>Репутація групи впливає на ціну предметів у крамниці Торговця і на результат певних зустрічей."
GUI_QUEST_COMPLETED,"Виконано"
GUI_QUEST_COMPLETED_REWARDS,"Завдання завершено!"
GUI_QUEST_COMPLETED_REWARDS_CLOSE,"Забрати нагороду!"
GUI_QUEST_COMPLETED_UNAVAILABLE_REWARDS,"Жодних додаткових нагород, ви вже завершили цей сценарій."
GUI_QUEST_ENEMIES,"Вороги:"
GUI_QUEST_GROUP_City,"Завдання в місті"
GUI_QUEST_GROUP_Completed,"Виконані завдання"
GUI_QUEST_GROUP_Job,"Робота"
GUI_QUEST_GROUP_Relic,"Реліквії"
GUI_QUEST_GROUP_Story,"Історія"
GUI_QUEST_GROUP_Travel,"Подорож"
GUI_QUEST_GROUP_World,"Завдання зі світу"
GUI_QUEST_LOCKED,"Це завдання закрито"
GUI_QUEST_REWARDS,"Нагороди:"
GUI_QUEST_REWARD_AddModifiers,"Отримати {0} модифікатори атаки"
GUI_QUEST_REWARD_CityEvent,"Розблокувати міську подію"
GUI_QUEST_REWARD_ConsumeItem,"На початку сценарію кожен повинен використати 1 {0}"
GUI_QUEST_REWARD_ConsumeItem_Combined,"Вжити 1 {0}"
GUI_QUEST_REWARD_Discard,"На початку сценарію кожен повинен скинути {0} карт"
GUI_QUEST_REWARD_Discard_Combined,"Скинути {0} карт"
GUI_QUEST_REWARD_EnchantmentPoints,"{0} Очок зачарування кожному"
GUI_QUEST_REWARD_EnhancementSlots,"Нагорода: {0} слот поліпшень"
GUI_QUEST_REWARD_GAIN_EXCLUDEPREVIOUSCHARACTER,"Усі персонажі отримали {0} золота на всіх"
GUI_QUEST_REWARD_GAIN_GOLDBAG,"Один персонаж отримує {0} золота"
GUI_QUEST_REWARD_GlobalAchievement,"Отримати глобальне досягнення"
GUI_QUEST_REWARD_GoldEach,"{0} Кожному"
GUI_QUEST_REWARD_ItemStock,"Креслення {0}"
GUI_QUEST_REWARD_LOSE_EXCLUDEPREVIOUSCHARACTER,"Усі персонажі втрачають {0} золота на всіх"
GUI_QUEST_REWARD_LOSE_GOLDBAG,"Один персонаж втрачає {0} золота"
GUI_QUEST_REWARD_Loot_Item,"{1}"
GUI_QUEST_REWARD_LoseItem,"Втратити 1 {0}"
GUI_QUEST_REWARD_Multiplayer,"Мультиплеєр"
GUI_QUEST_REWARD_NONE,"Приховано"
GUI_QUEST_REWARD_PERKPOINT_Unlocked,"Очко навички!"
GUI_QUEST_REWARD_PartyAchievement,"Отримати досягнення групи"
GUI_QUEST_REWARD_Perk,"Отримати Навичку"
GUI_QUEST_REWARD_PerkCheck,"Галочок: {0}"
GUI_QUEST_REWARD_PerkPoint,"Отримайте навичку"
GUI_QUEST_REWARD_PerkPoints,"Отримати {0} очк. Навичок"
GUI_QUEST_REWARD_Prosperity,"{0} Процвітання"
GUI_QUEST_REWARD_Reputation,"{0} Репутація"
GUI_QUEST_REWARD_RoadEvent,"Розблокувати дорожню подію"
GUI_QUEST_REWARD_Unlock,"Відкривається {0}"
GUI_QUEST_REWARD_UnlockChapter,"Відкривається глава {0}"
GUI_QUEST_REWARD_UnlockCharacter,"Відкривається"
GUI_QUEST_REWARD_UnlockEnhancer,"Розблокувати Чарівницю"
GUI_QUEST_REWARD_UnlockQuest,"Розблокується завдання"
GUI_QUEST_REWARD_UnlockRelicQuest,"Розблокується особливе завдання"
GUI_QUEST_REWARD_Unlocked,"{0}"
GUI_QUEST_SELECTED_BY_HOST,"<color=#FCC954FF>це завдання було обрано Ведучим.</color>"
GUI_QUEST_SELECT_BLOCKED,"Ви не можете почати завдання поки в групі є найманець із виконаною особистою метою"
GUI_QUEST_STARTING_LOCATION_MISSING,"Для цього завдання потрібне відкриття"
GUI_QUEST_TREASURES,"Скарби"
GUI_QUEST_TREASURES_REWARD,"Скринь скарбів {0}"
GUI_READY,"Усе готово!"
GUI_READY_TOWN_RECORDS,"Міські архіви"
GUI_REDRAW_CARD,"Витягнути нову, <color=""red"">(<sprite name=""Attack"" tint=1 >1 На себе)"
GUI_REFRESH_ITEMS_TIP,"Розгорнути предмет"
GUI_REFRESH_ITEMS_TITLE,"Вибрати предмет для оновлення"
GUI_REFRESH_MODS,"Оновити модифікатори"
GUI_REMOVE,"Прибрати"
GUI_REMOVE_PLAYER,"Прибрати гравця"
GUI_RENOWN,"Популярність"
GUI_REPLAY_LOCATION,"Переграти завдання"
GUI_REPLY,"Переграти"
GUI_REPORT_SOFTLOCK,"Повідомити про Soft Lock"
GUI_REPORT_SOFTLOCK_DESCR,"якщо ви виходите через <color=#EACF8C>Soft Lock</color>, будь ласка, надішліть репорт про це насамперед"
GUI_RESET,"Скидання"
GUI_RESET_CHARACTER_LEVEL,"Скидання Найманця"
GUI_RESET_CHARACTER_LEVEL_CONFIRMATION,"Скидання Здібностей"
