Keys,"Українська [ua-UA]"
Scenario_Campaign_029_Success_1,"Ви б'єте по стінах, відчайдушно сподіваючись, що з'явиться ще хоч хто-небудь, з ким можна битися в цій клітці. Ви з кожною миттю втрачаєте сили, перед очима все темніє..."
Scenario_Campaign_030_Objective_1,"Здобути Інкрустовану скриню здатністю ЗДОБИЧ (добувати, встаючи на клітку, не можна)"
Scenario_Campaign_030_Success_1,"Варто вам торкнутися скіпетра, як будівлю стрясає тремтіння. Темна енергія виривається назовні і пронизує монстрів, які атакують вас. Вони падають замертво, і тремтіння стихає."
Scenario_Campaign_030_Success_2,"Коли вам вдається знову встати на ноги, ваші голови вибухають від болю."
Scenario_Campaign_030_Success_3,"Вас обдурили!"" лютує знайомий голос. ""Не смійте приходити до мене з цим скіпетром! Якщо ви мене звільните, присягаюся, я вас не чіпатиму."
Scenario_Campaign_030_Success_4,"А ось якщо ви притягнете скіпетр... Словом, що б ви не думали, зараз ви робите велику помилку."
Scenario_Campaign_030_Success_5,"Біль розсіюється так само швидко, як виник. Ви міцніше стискаєте скіпетр і поспішаєте геть зі святилища. До Шепотливої галереї. Щоб змусити голос замовкнути назавжди."
Scenario_Campaign_031_Objective_1,"Знищити чорний стовп"
Scenario_Campaign_031_RockColumn,"Чорний стовп"
Scenario_Campaign_031_Room_3_1,"Уже розмірковуючи, чи не дала хуртовина маху, ви нарешті з полегшенням помічаєте вдалині стовп."
Scenario_Campaign_031_Room_3_2,"Ця громадина з товстих переплетених ниток темної матерії тягнеться вгору і виходить через отвір у стелі печери."
Scenario_Campaign_031_Success_1,"Після чергового удару колона рветься. Нитки чорної матерії звиваються і, немов батоги, б'ють на всі боки, вириваючись із печери назовні, ніби саме небо притягує їх."
Scenario_Campaign_031_Success_2,"Земля здригається. Під вашими ногами розверзаються тріщини, і вся печера починає з гуркотом обвалюватися."
Scenario_Campaign_032_Objective_1,"Досягти задньої частини хабари Женців"
Scenario_Campaign_032_Objective_2,"Убити всіх видимих ворогів"
Scenario_Campaign_032_Objective_3,"Зібрати ємності зі скриньки Женців"
Scenario_Campaign_032_Success_1,"Женці - небезпечні супротивники, але і їх спіткає та сама доля, що і всіх інших ваших ворогів."
Scenario_Campaign_032_Success_2,"Відчуваючи, що гниль цього місця пробирає вас до кісток, ви спішно все обнишпорюєте і знаходите показаний Голосом глиняний горщик."
Scenario_Campaign_032_Success_3,"Варто вам узяти його в руки, як Голос знову проникає у ваші голови: ""Добре! Просто чудово! Заразителі були лише однією з сил, що охороняли мій шлях до свободи. Я покажу вам друге місце. Будь ласка, поверніть мені посудини. Я щедро винагороджу вас."
Scenario_Campaign_033_Objective_1,"Здобути всі інкрустовані скрині"
Scenario_Campaign_033_Objective_2,"Усі найманці повинні втекти через вихід"
Scenario_Campaign_033_Room_4_1,"Лунає виразний сигнал тривоги. Ви розворушили гніздо шершнів, і рано чи пізно вони доберуться до вас."
Scenario_Campaign_033_Room_4_2,"Ви вриваєтеся у внутрішні покої й оглядаєтеся. Навколо повнісінько скарбів. Чим розбиратися, простіше взяти все."
Scenario_Campaign_033_SCENARIO_MODIFIER_1,"Двері в останню кімнату відчиняються, коли всі персонажі встануть на клітки з натискними плитами."
Scenario_Campaign_033_Success_1,"Ви звертаєте за ріг рівно в той момент, коли вогняна куля, що летить слідом, врізається в стіну і руйнує тунель позаду вас."
Scenario_Campaign_033_Success_2,"Ви мчитеся щосили, за лічені хвилини вибираєтеся назовні з печер і, не зупиняючись, мчите якраз до околиць передгір'я."
Scenario_Campaign_034_Objective_1,"Вбити Дрейка-патріарха"
Scenario_Campaign_034_Success_1,"З криком, від якого холоне душу, величезний дрейк падає зі свого кам'яного сідала на сніг. Здається, він ще живий, але дихає слабо і неглибоко."
Scenario_Campaign_034_Success_2,"Кровожерливі дурні..."" шепоче він. ""І чому я чекав іншого? Вітаю з оглушливим успіхом."
Scenario_Campaign_034_Success_3,"Упевнений, ваше тріумфальне повернення викличе фурор і вас зустрінуть як героїв. Увінчають лаврами і огорнуть порфірою. Ви озолотитеся, і п'ять тисяч..."
Scenario_Campaign_034_Success_4,"Шепіт і дихання дрейка затихають."
Scenario_Campaign_035_Objective_1,"Знищити двері"
Scenario_Campaign_035_Objective_2,"Убити начальника варти"
Scenario_Campaign_035_Room_2_1,"Ви намагаєтеся вибити дерев'яні двері, але тут зі зворотного їхнього боку лунає вибух. Язики полум'я танцюють над уламками дерева й уламками каменю."
Scenario_Campaign_035_Room_2_2,"Ударна хвиля збиває вас із ніг, а коли ви приходите до тями, на місці дверей виявляються лише клуби диму. Шлях вільний. Настав час покінчити з начальником варти."
Scenario_Campaign_035_Start_1,"Ведіть мою армію замість мене! Розтрощіть міські стіни і принесіть мені голову цієї людини!"
Scenario_Campaign_035_Success_1,"Віроломні бовдури!"" харкає кров'ю той. ""Ви прирекли всіх нас на вічні муки! Навіщо вам це, боги?!"
Scenario_Campaign_035_Success_2,"Над його поваленим тілом височіє тінь. Піднявши голову, ви бачите високу фігуру Архідемона, що стікає кров'ю."
Scenario_Campaign_035_Success_3,"Багатство, влада - ось і все, заради чого ви, люди, гризетеся щодня своїх нікчемних життів..."
Scenario_Campaign_035_Success_4,"Однак цим найманцям пощастило знайти того, хто справді дасть їм усе це, замість того щоб годувати порожніми обіцянками."
Scenario_Campaign_035_Success_5,"Я дотримаю свого слова: помруть лише ті, хто виступив проти мене. Решта вільні залишитися і жити в цьому місті як мої піддані. Я ж поки що повернуся у своє царство і подумаю, що робити далі."
Scenario_Campaign_036_Misc_1,"Із задніх рядів із диким ревом вистрибує великий повелитель демонів, завдає нищівного удару по старих воротах, і ті здають під його натиском."
Scenario_Campaign_036_Misc_2,"Однак сам демон виснажений і важко поранений. Якщо вам вдасться покінчити з ним, інші вороги розосередяться і АТАКА захлинеться."
Scenario_Campaign_036_Objective_1,"Убити Архідемона"
Scenario_Campaign_036_Objective_2,"Захищати двері 8 раундів"
Scenario_Campaign_036_Start_1,"Знай наших!"" кричить вам начальник варти. ""Затримайте їх! Я маю дістатися до інших воріт і підготуватися до нападу."
Scenario_Campaign_036_Start_2,"Він міцно хапає вас за плечі. ""Не дайте їм прорватися!"
Scenario_Campaign_036_Success_1,"З оглушливим криком демон падає, стрясаючи землю. Пазуриста лапища розтискається, являючи світлу артефакт."
Scenario_Campaign_036_Success_2,"Думав, із ним у мене буде достатньо сил. Думав, він захистить мене в цьому світі. Проклятий самовпевнений дурень. Розбитий і зломлений біля ніг смертних. Як принизливо..."" Демон затихає."
Scenario_Campaign_036_Success_3,"Начальник варти поспішає до вас. ""Інші підібгали хвости і відступають,"" повідомляє він. ""Та ще видалася заварушка, але ми перемогли. Завдяки вам."
Scenario_Campaign_037_Objective_1,"Усі найманці повинні втекти через вихід"
Scenario_Campaign_037_Success_1,"Ви пливете далі, геть із цієї злощасної западини. Позаду збирається все більше потайок, але вони вас не переслідують. Можливо, бояться того, що попереду."
Scenario_Campaign_037_Success_2,"Ви занурюєтеся в тріщину на дні і пливете вздовж неї, поки шлях раптово не веде вас нагору. Виринувши з холодної безжальної води в повітряну порожнину, загублену в морській безодні,"
Scenario_Campaign_037_Success_3,"Ви з полегшенням випльовуєте сфери, радіючи тому, що знову можете дихати і навіть трохи перепочити. Попереду в темряві ви бачите велику печеру з масивною кам'яною спорудою всередині."
Scenario_Campaign_037_Success_4,"Усе це має такий неприродний вигляд, що вас переповнює тваринний жах."
Scenario_Campaign_038_Objective_1,"Убити всіх ворогів"
Scenario_Campaign_038_Objective_2,"Захистити Орхідів"
Scenario_Campaign_038_Start_1,"- Так, я проведу вас крізь хащі, обіцяє той. - Але спершу змушу Іноксів заплатити за скоєне."" Він підходить до мертвого охоронця і прикидає до руки його клинок."
Scenario_Campaign_038_Start_2,"Можете допомогти, якщо хочете, але кров проллється в будь-якому разі."" Орхід із диким бойовим кличем спрямовується до своїх тюремників, і в таборі зав'язується кривава бійка."
Scenario_Campaign_038_Start_3,"Ви вирішуєте, що, якщо вже вам потрібен провідник, він все-таки потрібен вам живим..."
Scenario_Campaign_038_Success_1,"Нарешті всі Інокси, а заразом і їхні големи знищені. Орхід падає на коліна, кидаючи клинок."
Scenario_Campaign_038_Success_2,"Дякую,"" насилу вимовляє він. ""Вони вбили всю мою сім'ю, заявивши, що з моїх дітей однаково паршиві працівники."
Scenario_Campaign_038_Success_3,"Зануривши пальці в кров, Орхід починає щось малювати на своєму обличчі. ""Я думав, що, вбивши їх усіх, відчую полегшення, але ні... Порожнеча - ось усе, що мені залишилося."" Орхід ненадовго замовкає."
Scenario_Campaign_038_Success_4,"Я в боргу перед вами і на знак подяки проведу вас у західний ліс. Однак дорогою я хотів би зазирнути в ще одне село Орхідів. Боюся, це було не останнє плем'я Іноксоврабовласників."
Scenario_Campaign_038_Success_5,"Орхід важко піднімається і повертається до вас. Його обличчя - червона маска лютої ненависті: ""Мене звуть Красношип. За мною!"
Scenario_Campaign_039_Altar,"Вівтар сфер"
Scenario_Campaign_039_Objective_1,"Знищити вівтар"
Scenario_Campaign_039_Room_2_1,"Сподіваючись напасти раніше, ніж нападуть на вас. Ви виламуєте двері і вриваєтеся всередину."
Scenario_Campaign_039_Room_2_2,"У печері (хто б сумнівався!) сила-силенна ворогів, але найбільше вас непокоїть біла сфера, що світиться, позаду кристалічних демонів..."
