Keys,"Українська [ua-UA]"
ERROR_MAP_CHOREOGRAPHER_00019,"Не вдалося обробити Закінчився показ Outro Похмура Гавань Messages"
ERROR_MAP_CHOREOGRAPHER_00020,"Не вдається запустити мультиплеєр"
ERROR_MAP_CHOREOGRAPHER_00021,"Персональний квест для персонажа не вдалося знайти, призначено випадковий персональний квест"
ERROR_MRL_CHOREOGRAPHER_00001,"Не знайдено сіл із життєздатним квестом про роботу, скидаю попередній список квестів і пробую знову"
ERROR_MRL_CHOREOGRAPHER_00002,"Не знайдено сіл з життєздатним квестом робочих місць"
ERROR_MULTIPLAYER_00001,"Помилка розміщення символу"
ERROR_MULTIPLAYER_00002,"Не вдається перемкнути покращення. Хореограф ще не ініціалізовано"
ERROR_MULTIPLAYER_00003,"Неможливо перемкнути покращення. Поточний актор ще не ініціалізовано"
ERROR_MULTIPLAYER_00004,"Помилка модифікації інвентарю предметів. Не визначено режим золота"
ERROR_MULTIPLAYER_00005,"Помилка модифікації інвентарю предметів. Знайдено нерозпізнаний режим золота"
ERROR_MULTIPLAYER_00006,"Відсутність ігрових даних, наданих хостом. Відключення від сеансу"
ERROR_MULTIPLAYER_00007,"Не вдалося обробити шлях до цільового файлу збереження. Від'єднання від сеансу"
ERROR_MULTIPLAYER_00008,"Помилка запуску багатокористувацької гри. Знайдено невідповідний або незавершений режим гри"
ERROR_MULTIPLAYER_00009,"Виняток під час спроби запустити багатокористувацьке збереження"
ERROR_MULTIPLAYER_00010,"Отримано GameDataRequest, але запит повертає null"
ERROR_MULTIPLAYER_00011,"Отримано GameDataRequest, але гравця-запитувача більше не існує"
ERROR_MULTIPLAYER_00012,"Знайдено необроблюваний DataActionType"
ERROR_MULTIPLAYER_00013,"Помилка прийняття з'єднання. Гра в режимі небагатокористувацької гри. Відключення від мережі"
ERROR_MULTIPLAYER_00014,"Неможливо обробити стан"
ERROR_MULTIPLAYER_00015,"Виявлено неправильну дію"
ERROR_MULTIPLAYER_00016,"У підключенні відмовлено"
ERROR_MULTIPLAYER_00017,"Не вдалося підключитися до сеансу"
ERROR_MULTIPLAYER_00018,"Помилка створення нового NetworkControllable. Об'єкт controllable повертає null"
ERROR_MULTIPLAYER_00019,"Помилка створення нового NetworkControllable. Ідентифікатор #0 зарезервовано як стан за замовчуванням"
ERROR_MULTIPLAYER_00020,"Мережева ЦІЛЬ для надсилання користувацьких даних неініціалізована. Повернення"
ERROR_MULTIPLAYER_00021,"Спроба надіслати дані на нульове з'єднання. Повернення"
ERROR_MULTIPLAYER_00022,"Відбулася десинхронізація"
ERROR_MULTIPLAYER_00023,"Отримано PlayerEntityRequest, але подія повертає null"
