Keys,"English [en-GB]"
SCENARIO_STORY_BANDITCOMMANDER_START_4,"You’ve been spotted, time to attack!"
SCENARIO_STORY_BANDITCOMMANDER_SUCCESS_1,"The Temple of the Ashes is silent again. You decide that it should stay that way, and seal the entrance as you leave."
SCENARIO_STORY_BEASTTYRANT_1_Room_2_1,"The cave leads into a sewer system, this whole network is corrupted."
SCENARIO_STORY_BEASTTYRANT_1_START_1,"Well, this is a new one to me, allied snakes?"
SCENARIO_STORY_BEASTTYRANT_1_START_2,"Normally I’d be relieved but not with those horrid things in the room over there!"
SCENARIO_STORY_BEASTTYRANT_1_SUCCESS_1,"As the last of the Rot is destroyed you make a sigh of relief, this cave network has been cleansed."
SCENARIO_STORY_BEASTTYRANT_2_Room_2_1,"Here are the sewers where the Rot has spread from, it needs clearing."
SCENARIO_STORY_BEASTTYRANT_2_SM1_DESC,"All Enemies start Disarmed"
SCENARIO_STORY_BEASTTYRANT_2_START_1,"We’ve surprised them this time, quick, attack while they are disarmed!"
SCENARIO_STORY_BEASTTYRANT_2_SUCCESS_1,"Another part of the world is free from Rot, but where else will it have spread?"
SCENARIO_STORY_BEASTTYRANT_3_START_1,"These Deep Terrors are going to keep coming, we need to get the Bears here as quickly as possible!"
SCENARIO_STORY_BEASTTYRANT_3_START_2,"Yet bears are notoriously slow moving!"
SCENARIO_STORY_BEASTTYRANT_3_START_3,"In that case we should really try and give them a push!"
SCENARIO_STORY_BEASTTYRANT_3_SUCCESS_1,"With a majority of the Terrors dead, they stop spawning and you are free to explore the cave system."
SCENARIO_STORY_BERSERKER_1_Room_2_1,"I don’t ever recall City Guard having service hounds."
SCENARIO_STORY_BERSERKER_1_Room_2_2,"We’re, uh, City Guard! And we says stop in the name of the City!"
SCENARIO_STORY_BERSERKER_1_Room_2_3,"I have an odd feeling that these may be bandits playing dress-up."
SCENARIO_STORY_BERSERKER_1_Room_2_4,"So the Berserker didn’t just go berserk and make us murder a whole bunch of guards? I hope you’re right…"
SCENARIO_STORY_BERSERKER_1_START_1,"I get she’s called the Berserker, but isn’t killing Guards a little, er, berserk?"
SCENARIO_STORY_BERSERKER_1_START_2,"We’ll talk about this later. First, we need to get out of here alive."
SCENARIO_STORY_BERSERKER_1_SUCCESS_1,"With the camp empty, you are free to explore."
SCENARIO_STORY_BERSERKER_1_SUCCESS_2,"Inside one tent, you find a number of naked bodies next to a pile of dirty, torn clothes. The kind of clothes bandits would wear."
SCENARIO_STORY_BERSERKER_1_SUCCESS_3,"Looks like you were right — they were just bandits after some better clothes."
SCENARIO_STORY_BERSERKER_1_SUCCESS_4,"It is good to know that we didn’t break any laws today."
SCENARIO_STORY_BERSERKER_2_Room_2_1,"I didn’t think that the Overseer is a Harrower…"
SCENARIO_STORY_BERSERKER_2_Room_2_2,"The Overseer sends his regards!"
SCENARIO_STORY_BERSERKER_2_Room_2_3,"It looks like we’ve missed him again. Kill these Harrowers, and we can find out where he’s heading!"
SCENARIO_STORY_BERSERKER_2_START_1,"I don’t think these Vermlings are common in this part of the realm."
SCENARIO_STORY_BERSERKER_2_START_2,"I think the Harrowers behind them hissing orders and cracking whips might have something to do with that..."
SCENARIO_STORY_BERSERKER_2_START_3,"Point taken. Push on through these Harrowers, and we should find the Overseer at the puppet strings."
SCENARIO_STORY_BERSERKER_2_START_4,"And be merciful to the Vermlings. They’re being forced to fight."
SCENARIO_STORY_BERSERKER_2_SUCCESS_1,"Near the centre of Ironwood Camp, you find the Vermlings have amassed large piles of metal in wagons, surrounded by ledgers and documents. There is definitely a larger plan at work."
SCENARIO_STORY_BERSERKER_2_SUCCESS_2,"How did the Overseer make friends with Harrowers? Actually, how does anyone do it?"
SCENARIO_STORY_BERSERKER_2_SUCCESS_3,"I don’t know, but it seems like he’s involved with the goings on at Keyport. We have to be careful."
SCENARIO_STORY_BERSERKER_3_Room_2_1,"See! Speak of the devil…"
SCENARIO_STORY_BERSERKER_3_Room_2_2,"Keep fighting, you can’t be far from the Overseer!"
SCENARIO_STORY_BERSERKER_3_Room_3_1,"They just keep coming! How are you going to fight them all?"
SCENARIO_STORY_BERSERKER_3_Room_3_2,"This is getting too dangerous. You see those doors? Those lead into the quarters of one of the bandit leaders. Get in there, grab anything useful, then get out!"
SCENARIO_STORY_BERSERKER_3_Room_4_1,"Okay, grab those papers!"
SCENARIO_STORY_BERSERKER_3_Room_4_2,"Then get out of here! I can’t lose idiots to sell junk— I mean, valued customers!"
SCENARIO_STORY_BERSERKER_3_START_1,"I’ve never seen so many Vermlings in one place. And with bandits? The smell is worse than the manure stand I used to run.
"
SCENARIO_STORY_BERSERKER_3_START_2,"There’s enough Vermlings here to start an army… where do the Harrowers fit in this?"
SCENARIO_STORY_BERSERKER_3_START_3,"… Wait, a manure stand?"
SCENARIO_STORY_BERSERKER_3_START_4,"Shh, don’t mention Harrowers! You’ve jinxed it now."
SCENARIO_STORY_BERSERKER_3_SUCCESS_1,"The cold air steams your breath as you escape the cave, but you don’t stop with Vermlings hot on your heels. By the time you stop running, you can see Millpond in the distance."
SCENARIO_STORY_BERSERKER_3_SUCCESS_2,"I wouldn’t go anywhere near that cave again if I were you."
SCENARIO_STORY_BERSERKER_3_SUCCESS_3,"Get back here, and we’ll see if what you grabbed can give us any advantage when you go back in."
SCENARIO_STORY_BRUTE_1_ROOM_3,"You push through to a clearing in the forest and are surprised to see Inox in charge of the hounds. They wear the markings of a traitor from your tribe. This is no random attack!"
SCENARIO_STORY_BRUTE_1_START_1,"Hounds come crashing out of the woods and you step forwards to protect Scabwit, but he is having none of it: ‘I can defend myself just fine, you know!’
You aren’t sure of that, you’d better keep him alive if you want to get paid!"
SCENARIO_STORY_BRUTE_1_SUCCESS_1,"With the hounds and Inox dead, you walk over to a body. You were right: the markings are similar to those of the old chief’s bodyguard, who killed the chief in his sleep and took his axe."
SCENARIO_STORY_BRUTE_2_START_1,"My scouts are reporting Inox Warriors with humans flooding through the forest. They are heading right towards us, so expect heavy resistance."
SCENARIO_STORY_BRUTE_2_START_2,"We’ll make a stand here. If we take down enough of them, they should rout. My tribemates will help."
SCENARIO_STORY_BRUTE_2_SUCCESS_1,"Faced with the solid resolve, the attackers turn tail and flee back into the forest. It looks like you have won!"
SCENARIO_STORY_BRUTE_3_Room_2,"In this room Inox Shaman are summoning the Demons. They must be stopped!"
SCENARIO_STORY_BRUTE_3_SM1_DESC,"Brute is permanently Strengthened"
SCENARIO_STORY_BRUTE_3_START_1,"The thought of Inox and Demons working together fills you with rage, and you charge forwards to destroy them all!"
SCENARIO_STORY_BRUTE_3_SUCCESS_1,"You don’t know how many of these Demons have already been summoned, but this should put a stop to any more adding to his army."
SCENARIO_STORY_BRUTE_3_SUCCESS_2,"In a book in the corner, you find instructions on how to enter the inner lair of the Traitor – as long as his troops are out of the way first!"
