Keys,"English [en-GB]"
Quest_Campaign_085_NAME,"Sun Temple"
Quest_Campaign_086_DESC,"What is spreading disease throughout Gloomhaven?"
Quest_Campaign_086_INTRO,"The Hook Coast is a ramshackle collection of huts to the south of Gloomhaven whose residents are primarily poor fisherman. Outside the walls of the city, this is a dangerous, chaotic place that experiences constant Vermling attacks. The cycle is simple: the Vermlings attack, the villagers escape to the sea on their fishing boats, the Vermlings are driven off by the city guards, and then the villagers return to rebuild their huts.

When you arrive at the Hook Coast, you weren’t expecting to drop into the middle of a Vermling attack, but it was admittedly in the realm of possibility. What is more troubling, however, is the number of sick villagers unable to flee the attack with proper haste.

If you want any information about this disease, you’ll need to make sure as many villagers make it to their boats as possible."
Quest_Campaign_086_LIST,"Discover the source of the sickness "
Quest_Campaign_086_NAME,"Harried Village "
Quest_Campaign_087_DESC,"The fishermen of the Hook Coast traced the water's contamination here..."
Quest_Campaign_087_INTRO,"As you travel, the stone floor becomes more and more covered in a sticky, slippery ooze. You are resolved to find the source of this horrid corruption, but a number of Lurkers in front of you seem to want to stop you in that endeavor."
Quest_Campaign_087_INTRO_TRAVEL_1,"With the source of the corruption inaccessible by land, you take a small boat into the cove, which is faced on three sides by high rock walls. "
Quest_Campaign_087_INTRO_TRAVEL_2,"At the base of the far cliff, you see an inlet into a dark cavern, and the water coming out of it is a sickly green color."
Quest_Campaign_087_INTRO_TRAVEL_3,"You moor the boat inside the cavern, jump out, and follow a rocky corridor deeper inside. "
Quest_Campaign_087_LIST,"Destroy the poison's source"
Quest_Campaign_087_NAME,"Corrupted Cove"
Quest_Campaign_087_SCENARIO_MODIFIER_1,"All mercenaries start with 3 Curses"
Quest_Campaign_087_SCENARIO_MODIFIER_2,"If a mercenary ends their turn on a difficult terrain hex in the second room, the terrain is removed and they gain Shield 2 from all Ooze attacks plus immunity to poison for the remainder of the scenario."
Quest_Campaign_088_DESC,"Why won't the staff stop producing water?"
Quest_Campaign_088_INTRO,"Traveling across the planar barrier, it feels as though you are being torn apart, but the trip is thankfully short. Just as your mouth opens to scream in pain, it fills with water, and you open your eyes to see that you have arrived. Hostile figures gather around you as you contemplate your purpose here."
Quest_Campaign_088_INTRO_TRAVEL_1,"You hold the Summoner’s staff in your hand and concentrate on its vibrations between the planes."
Quest_Campaign_088_INTRO_TRAVEL_2,"It was hard to notice at first, with all that water rushing out, but the staff is speaking to you—inviting you to cross the threshold into another plane."
Quest_Campaign_088_INTRO_TRAVEL_3,"You cannot help but feel as if this whole series of events was more than just coincidence. You were meant to find the staff in the road. You were meant to travel to the Plane of Water. "
Quest_Campaign_088_INTRO_TRAVEL_4,"You cannot fathom why, but you are willing to find out. You swallow the breathing orb and let the staff take you away."
Quest_Campaign_088_LIST,"Investigate the water"
Quest_Campaign_088_NAME,"Plane of Water "
Quest_Campaign_088_Outro_GH_1,"Instantly, you find yourself back in your room, with the Summoner in front of you. "
Quest_Campaign_088_Outro_GH_2,"“I was foolish in my studies and was captured,” she says. “You found the signs and rescued me. Please, keep the staff as a token of my thanks.” "
Quest_Campaign_088_Outro_GH_3,"As soon as you take hold of the staff, the terse Aesther disappears."
Quest_Campaign_088_SCENARIO_MODIFIER_1,"All mercenaries and mercenary summons deduct -1 Move <sprite name=Move> from all of their Move <sprite name=Move> abilities."
Quest_Campaign_088_SCENARIO_MODIFIER_2,"All mercenaries and mercenary summons are forced to move one hex in the direction of the current at the end of each round, unless they are occupying a hex directly behind an obstacle or wall hex in the opposite direction. If they cannot move because of another character, an obstacle or a wall they suffer 3 damage instead. The current flows away from the crystal and swaps from left to right every round."
Quest_Campaign_088_SCENARIO_MODIFIER_3,"The mercenary holding the Lurker King's Claw deducts -2 Move <sprite name=Move> from all their Move <sprite name=Move> abilities."
Quest_Campaign_089_DESC,"Work with the Nightshroud to stop this assassins' syndicate gaining purchase in Gloomhaven"
Quest_Campaign_089_INTRO,"Before you can ask what the signal is, the Nightshroud has vanished. You spend a couple of minutes in confusion until a familiar black dagger whistles through the air and impales the ground at your feet. Taking that as the signal, you draw your weapons and charge in."
Quest_Campaign_089_INTRO_GH_1,"You follow the Nightshroud through the dark streets of Gloomhaven until he stops in an alley facing a run-down office building in the Old Docks.
"
Quest_Campaign_089_INTRO_GH_2,"“I hope you weren’t expecting anything grandiose,” he says. “The Sin-Ra like to keep a low profile, which is why most people don’t even know they exist. But this, my friends, is their heart, and I intend to stab at it until it stops beating."""
Quest_Campaign_089_INTRO_GH_3,"“I will stick to the rooftops, eliminating the lookouts and making sure no one goes in or out of the place. Once I give you the signal, your job is to rush in and kill everything that moves.”"
Quest_Campaign_089_LIST,"Destroy the Sin-Ra hideout "
Quest_Campaign_089_NAME,"Syndicate Hideout "
Quest_Campaign_090_DESC,"The Spellweaver has asked for your help at a mysterious location"
Quest_Campaign_090_INTRO,"“The dangers around Gloomhaven grow every day,” she begins. “Forces beyond my knowledge have been opening rifts into the Plane of Elemental Power, allowing demons access to our world. I have been able to close a few of them, but this one—”

She points toward the light. “This one is much older and much more entrenched than the others. I will need your help.”

She turns and looks at you for the first time. “We will need to close it from both sides, and there will be many demons guarding it. Are you ready?”"
Quest_Campaign_090_INTRO_TRAVEL_1,"In the middle of the night, you find your way to the location marked on your map. "
Quest_Campaign_090_INTRO_TRAVEL_2,"You see the Spellweaver standing in the center of a field with a censer in hand, staring at a flickering light off in the distance."
