Keys,"English [en-GB]"
GUI_OBJECTIVE_REACH_POSITION_LOSE,"Lose if {0} enemies reach dungeon exit"
GUI_OBJECTIVE_REACH_POSITION_WIN,"Reach dungeon exit with {0} mercenaries to win"
GUI_OBJECTIVE_REACH_ROUND_LOSE,"Lose in {0} rounds"
GUI_OBJECTIVE_REACH_ROUND_WIN,"Survive {0} more rounds"
GUI_OBJECT_WITH_HEALTH,"Object with Health"
GUI_OK,"OK"
GUI_ON_ATTACK_CONDITIONS_TITLE,"On-Attack Conditions"
GUI_ON_DEATH_ADJACENT,"On death: Attack <sprite name=Attack> {0}. Target all adjacent enemies."
GUI_OPEN_DOOR,"Open Door"
GUI_OPTIONS,"Options"
GUI_OPT_AUDIO,"Audio"
GUI_OPT_AUDIO_EFFECTS,"Effects Volume"
GUI_OPT_AUDIO_MASTER,"Master Volume"
GUI_OPT_AUDIO_MUSIC,"Music Volume"
GUI_OPT_AUDIO_MUTE_IN_BACKGROUND,"Mute In Background"
GUI_OPT_AUDIO_NARRATION,"Story Volume"
GUI_OPT_AUDIO_PING,"Multiplayer: Player Ping"
GUI_OPT_COMBAT_LOG,"Combat Log"
GUI_OPT_COMBAT_LOG_ABILITIES,"Abilities"
GUI_OPT_COMBAT_LOG_CONDITIONS,"Conditions and Effects"
GUI_OPT_COMBAT_LOG_DAMAGE,"Damage"
GUI_OPT_COMBAT_LOG_DEATHS,"Deaths"
GUI_OPT_COMBAT_LOG_HEALING,"Healing"
GUI_OPT_COMBAT_LOG_INFUSIONS,"Element Infusions"
GUI_OPT_COMBAT_LOG_ITEMS,"Items"
GUI_OPT_COMBAT_LOG_MODIFIERS,"Modifiers"
GUI_OPT_COMBAT_LOG_MULTIPLAYER,"Multiplayer"
GUI_OPT_COMBAT_LOG_OFF,"Off"
GUI_OPT_COMBAT_LOG_ON,"On"
GUI_OPT_CONTROL,"Controls"
GUI_OPT_CONTROL_CAMERA,"Camera Controls"
GUI_OPT_CONTROL_CAMERA_MD,"Move Down"
GUI_OPT_CONTROL_CAMERA_ML,"Move Left"
GUI_OPT_CONTROL_CAMERA_MR,"Move Right"
GUI_OPT_CONTROL_CAMERA_MU,"Move Up"
GUI_OPT_CONTROL_CAMERA_RL,"Rotate Left"
GUI_OPT_CONTROL_CAMERA_RR,"Rotate Right"
GUI_OPT_CONTROL_CAMERA_ZOOM_IN,"Zoom In"
GUI_OPT_CONTROL_CAMERA_ZOOM_OUT,"Zoom Out"
GUI_OPT_CONTROL_CONTROLLER,"Controller Mapping"
GUI_OPT_CONTROL_CONTROLLER_HIGHLIGHT_HEXES,"Highlight Hexes"
GUI_OPT_CONTROL_CONTROLLER_SHOW_CARDS,"Show Cards"
GUI_OPT_CONTROL_ENABLE_SECOND_CLICK_HEX_CONFIRM,"Second Click Hex to Confirm"
GUI_OPT_CONTROL_HOLD_TO_PING,"Hold key and Left Click to ping a tile"
GUI_OPT_CONTROL_MOUSE_ROTATE,"Mouse Rotate"
GUI_OPT_CONTROL_OTHER,"Other controls"
GUI_OPT_CONTROL_OTHER_DC,"Display All Cards"
GUI_OPT_CONTROL_OTHER_DC_HERO1,"Display Mercenary 1 Cards"
GUI_OPT_CONTROL_OTHER_DC_HERO2,"Display Mercenary 2 Cards"
GUI_OPT_CONTROL_OTHER_DC_HERO3,"Display Mercenary 3 Cards"
GUI_OPT_CONTROL_OTHER_DC_HERO4,"Display Mercenary 4 Cards"
GUI_OPT_CONTROL_OTHER_HI,"Highlight Interactables"
GUI_OPT_CONTROL_RESET,"Reset"
GUI_OPT_CONTROL_SCENARIO,"Scenario Controls"
GUI_OPT_CONTROL_SCENARIO_BURN_2_CARDS,"Burn 2 Cards"
GUI_OPT_CONTROL_SCENARIO_BURN_CARD,"Burn 1 Card"
GUI_OPT_CONTROL_SCENARIO_CONFIRM,"Confirm Action"
GUI_OPT_CONTROL_SCENARIO_SKIP,"Skip Attack"
GUI_OPT_CONTROL_SCENARIO_TAKE_DAMAGE,"Receive Damage"
GUI_OPT_CONTROL_SCENARIO_UNDO,"Clear Targets/Undo"
GUI_OPT_CONTROL_SPEED_UP,"Fast Forward"
GUI_OPT_CONTROL_TARGETING,"Targeting Controls"
GUI_OPT_CONTROL_TARGETING_R,"Rotate"
GUI_OPT_CONTROL_TARGETING_RL,"Rotate Left"
GUI_OPT_CONTROL_TARGETING_RR,"Rotate Right"
GUI_OPT_DIFFICULTY,"Difficulty"
GUI_OPT_GRAPHICS,"Graphics"
GUI_OPT_GRAPHICS_ADVANCED,"Advanced"
GUI_OPT_GRAPHICS_ADVANCED_DISABLE,"Hide Advanced Settings"
GUI_OPT_GRAPHICS_ADVANCED_ENABLE,"Display Advanced Settings"
GUI_OPT_GRAPHICS_ANISOTROPIC,"Anisotropic Textures"
GUI_OPT_GRAPHICS_ANTIALIASING,"Anti Aliasing"
GUI_OPT_GRAPHICS_BEAUTIFUL,"Beautiful"
GUI_OPT_GRAPHICS_CUSTOM,"Custom"
GUI_OPT_GRAPHICS_FANTASTIC,"Fantastic"
GUI_OPT_GRAPHICS_FAST,"Fast"
GUI_OPT_GRAPHICS_FASTEST,"Fastest"
GUI_OPT_GRAPHICS_FPS,"FPS"
GUI_OPT_GRAPHICS_GOOD,"Good"
GUI_OPT_GRAPHICS_OTHER,"Other"
GUI_OPT_GRAPHICS_PIXEL_LIGHT,"Pixel Light Count"
GUI_OPT_GRAPHICS_REFLECTION_PROBE,"Realtime Reflection Probes"
GUI_OPT_GRAPHICS_RENDER,"Rendering"
GUI_OPT_GRAPHICS_SHADOWS,"Shadows"
GUI_OPT_GRAPHICS_SHADOW_RES,"Shadow Resolution"
GUI_OPT_GRAPHICS_SIMPLE,"Simple"
GUI_OPT_GRAPHICS_SKIN_WEIGHT,"Skin Weights"
GUI_OPT_GRAPHICS_SOFT_PARTICLES,"Soft Particles"
GUI_OPT_GRAPHICS_TEXTURE_QUALITY,"Texture Quality"
GUI_OPT_GRAPHICS_VSYNC,"VSync Count"
GUI_OPT_INTERFACE,"Interface"
GUI_OPT_INTERFACE_ABILITY_FOCUS_OUTLINES,"Ability Focus Outlines"
GUI_OPT_INTERFACE_MOUSE_HOVER_OUTLINES,"Mouse Hover Outlines"
GUI_OPT_LANGUAGE,"Language"
GUI_OPT_LANG_APPLY,"Applying a different language requires the game to reload"
GUI_OPT_LANG_TITLE,"Action Required"
GUI_OPT_SHARED_GOLD,"Shared Gold"
GUI_OPT_SHARED_GOLD_DESCRIPTION,"All gold is shared across all Mercenaries in the Guild"
GUI_OPT_SPLIT_GOLD,"Split Gold"
GUI_OPT_SPLIT_GOLD_DESCRIPTION,"Each Mercenary manages an individual amount of Gold"
GUI_OPT_VIDEO,"Display"
GUI_OPT_VIDEO_BORDERLESS,"Borderless"
GUI_OPT_VIDEO_BORDERLESSWINDOWED,"Borderless"
GUI_OPT_VIDEO_DISPLAY,"Display Mode"
GUI_OPT_VIDEO_FULLSCREEN,"Fullscreen"
GUI_OPT_VIDEO_RESOLUTION,"Resolution"
GUI_OPT_VIDEO_WINDOWED,"Windowed"
GUI_OTHER_PLAYER_RETIREMENT_TOOLTIP,"<size=+2><color=#EACF8C>Retirement</color></size>
One of the Mercenaries in your party is about to retire.
Click to proceed to the Retirement"
GUI_PARTY,"Party"
GUI_PARTY_ASSEMBLY_ENTER_NAME,"Enter Guild Name"
GUI_PARTY_ASSEMBLY_ENTER_NAME_CAMPAIGN,"Enter Party Name"
GUI_PARTY_PRICE,"Cost: {0} Renown"
GUI_PARTY_SIZE,"{0} Heroes"
GUI_PASS,"Pass"
GUI_PASSIVE_ATTRIBUTES,"Passive Attributes"
GUI_PASSIVE_ATTRIBUTES_DESCRIPTION,"Passive Attributes allow the character to ignore specific negative effects"
GUI_PERFORM_LONG_REST,"Perform Long Rest"
GUI_PERKS,"Perks"
GUI_PERKS_LEGEND_ADD,"Add:"
GUI_PERKS_LEGEND_QUANTITY,"Quantity:"
GUI_PERKS_LEGEND_REMOVE,"Remove:"
GUI_PERKS_POINTS,"{0} Available Perks"
GUI_PERKS_TOOLTIP,"Welcome to the <b>Perks</b> Screen. Here you are able to spend any <b>Perks</b> you have acquired to add, remove or replace your existing <b>Attack Modifiers</b>. Look at your abilities and items, and decide what <b>Attack Modifiers</b> are best for your character, but be careful: once spent, <b>Perks</b> cannot be undone!"
GUI_PERK_CHECK_TOOLTIP,"<size=+2><color=#EACF8C>Perks</color></size>
Earn Perk Points <sprite name=""PerkPoint_Icon""> by completing Battle Goals.
Everytime you earn 3 Perk Points you can choose a Perk to unlock."
GUI_PERK_MODIFIER_ADD,"Add"
GUI_PERK_MODIFIER_REMOVE,"Remove"
GUI_PERK_MODIFIER_REPLACE,"Replace"
GUI_PERK_MODIFIER_REPLACE_WITH,"with"
GUI_PERSISTENT_BONUSES,"Persistent Bonuses"
GUI_PERSONAL_QUEST_COMPLETED,"Personal Quest Completed!"
GUI_PERSONAL_QUEST_CONCEAL_TOOLTIP,"Other players won't be able to see your personal Quest"
GUI_PERSONAL_QUEST_CONCEAL_TOOLTIP_TITLE,"Conceal Personal Quest"
GUI_PERSONAL_QUEST_PROGRESS_COMPLETED,"Personal Quest Step Completed"
GUI_PERSONAL_QUEST_SHOW_TOOLTIP,"Other players will be able to see your personal Quest"
GUI_PERSONAL_QUEST_SHOW_TOOLTIP_TITLE,"Show Personal Quest"
GUI_PLAYER_CONNECTING,"Connecting..."
GUI_PLAYER_DIE_BANNER,"{0} has died"
GUI_PLAYER_EXHAUSTED_BANNER,"{0} is exhausted"
GUI_PLAYER_OFFLINE,"Offline"
GUI_PLAYER_ONLINE,"Online"
GUI_PLAYING_GAME,"Playing"
GUI_PLAYSTEST_LEVELS,"Playtest Levels"
GUI_POSITIVE_CONDITIONS,"Positive Conditions"
GUI_PROP_CAN_BE_LOOTED_BY,"{0}"
GUI_PartyGold,"Gold coins owned by the party."
GUI_PartyGold_Tooltip,"Gold coins owned by the party.
Total: {0}"
GUI_PartyLevel,"<size=+4><color=#F1DBAE>Party Level</color></color></size>
This is calculated by taking the average character level in the party, dividing by 2 and rounding up. This is then used to determine the level of enemies, the damage of traps and the value of loot in the Scenario."
GUI_PartyProsperity,"Gloomhaven Wealth"
GUI_PartyProsperity_Tooltip,"<size=+4><color=#F1DBAE>Gloomhaven Wealth - Level {0}</color></color></size>
Gloomhaven's Wealth unlocks new items in the Merchant's shop and allows you to create new characters with a level equal to or lower than the current Gloomhaven Wealth Level.
Earning Prosperity <sprite name=""ProsperityLevel_Icon""> will increase Gloomhaven's Wealth. Prosperity can be earned or lost by completing certain Scenarios or Encounters."
GUI_PartyReputation,"Reputation"
GUI_PartyReputation_Tooltip,"<size=+4><color=#F1DBAE>Reputation Level {0}</color>
<color=#{2}><rotate={3}><sprite name=""ReputationLevel_Icon"" color=#{2}></rotate> Reputation Modifier: {1}<sprite name=""Gold_Icon_White"" color=#{2}></color></size>
The Party's Reputation will influence the cost of items in the Merchant's Shop and the outcome of certain Encounters."
GUI_QUEST_COMPLETED,"Completed"
GUI_QUEST_COMPLETED_REWARDS,"Quest Complete!"
GUI_QUEST_COMPLETED_REWARDS_CLOSE,"Claim Rewards!"
GUI_QUEST_COMPLETED_UNAVAILABLE_REWARDS,"No further Rewards available, you have already completed this Scenario."
GUI_QUEST_ENEMIES,"Enemies:"
GUI_QUEST_GROUP_City,"City Quests"
GUI_QUEST_GROUP_Completed,"Completed Quests"
GUI_QUEST_GROUP_Job,"Job"
GUI_QUEST_GROUP_Relic,"Relic"
GUI_QUEST_GROUP_Story,"Story"
GUI_QUEST_GROUP_Travel,"Travel"
GUI_QUEST_GROUP_World,"World Quests"
GUI_QUEST_LOCKED,"This quest is locked"
GUI_QUEST_REWARDS,"Rewards:"
GUI_QUEST_REWARD_AddModifiers,"Gain {0} Attack Modifiers"
GUI_QUEST_REWARD_CityEvent,"Unlock City Event"
GUI_QUEST_REWARD_ConsumeItem,"At the start of the Scenario Consume 1 {0} each"
GUI_QUEST_REWARD_ConsumeItem_Combined,"Consume 1 {0} "
GUI_QUEST_REWARD_Discard,"At the start of the Scenario Discard {0} cards each"
GUI_QUEST_REWARD_Discard_Combined,"Discard {0} cards"
GUI_QUEST_REWARD_EnchantmentPoints,"{0} Enchantment Point Each"
