Keys,"English [en-GB]"
ERROR_MAP_CHOREOGRAPHER_00019,"Could not process Finished Showing Outro Gloomhaven Messages"
ERROR_MAP_CHOREOGRAPHER_00020,"Unable to start Multiplayer"
ERROR_MAP_CHOREOGRAPHER_00021,"Personal quest for character could not be found, a random personal quest has been assigned"
ERROR_MRL_CHOREOGRAPHER_00001,"No villages with a viable job quest found, resetting previous quest list and trying again"
ERROR_MRL_CHOREOGRAPHER_00002,"No villages with a viable job quest found"
ERROR_MULTIPLAYER_00001,"Error placing character"
ERROR_MULTIPLAYER_00002,"Cannot toggle the enhancement. Choreographer not yet initialized"
ERROR_MULTIPLAYER_00003,"Cannot toggle the enhancement. Current actor not yet initialized"
ERROR_MULTIPLAYER_00004,"Error modifying item inventory. Gold mode not determined"
ERROR_MULTIPLAYER_00005,"Error modifying item inventory. Unrecognized gold mode found"
ERROR_MULTIPLAYER_00006,"No game data provided by the host. Disconnecting from the session"
ERROR_MULTIPLAYER_00007,"Could not process the target save file path. Disconnecting from the session"
ERROR_MULTIPLAYER_00008,"Error launching multiplayer game. Unsuitable or unfinished game mode found"
ERROR_MULTIPLAYER_00009,"Exception trying to launch multiplayer save"
ERROR_MULTIPLAYER_00010,"Received a GameDataRequest but the request returns null"
ERROR_MULTIPLAYER_00011,"Received a GameDataRequest but the requesting player does not exist anymore"
ERROR_MULTIPLAYER_00012,"Unprocessable DataActionType found"
ERROR_MULTIPLAYER_00013,"Error accepting a connection. Playing non-multiplayer game mode. Disconnecting"
ERROR_MULTIPLAYER_00014,"Cannot process state"
ERROR_MULTIPLAYER_00015,"Incorrect action detected"
ERROR_MULTIPLAYER_00016,"Connection refused"
ERROR_MULTIPLAYER_00017,"Failed to connect to session"
ERROR_MULTIPLAYER_00018,"Error creating a new NetworkControllable. The controllable object returns null"
ERROR_MULTIPLAYER_00019,"Error creating a new NetworkControllable. The ID #0 is reserved as the state default"
ERROR_MULTIPLAYER_00020,"Network target for sending custom data uninitialized. Returning"
ERROR_MULTIPLAYER_00021,"Trying to send data to null connection. Returning"
ERROR_MULTIPLAYER_00022,"Desynchronization occurred"
ERROR_MULTIPLAYER_00023,"Received a PlayerEntityRequest but the event returns null"
ERROR_MULTIPLAYER_00024,"Received a PlayerEntityRequest but the sending player does not exist anymore"
ERROR_MULTIPLAYER_00025,"Received a PlayerEntityInitializedEvent but the event returns null"
ERROR_MULTIPLAYER_00026,"Received a PlayerEntityInitializedEvent but the sending player does not exist anymore"
ERROR_MULTIPLAYER_00027,"Received a ControllableAssignmentRequest but the request returns null"
ERROR_MULTIPLAYER_00028,"Received a ControllableAssignmentRequest but the requesting player does not exist anymore"
ERROR_MULTIPLAYER_00029,"Controllable was requested by the client but no controllables are left to be assigned"
ERROR_MULTIPLAYER_00030,"Received a MissingGameActionsRequest but the request returns null"
ERROR_MULTIPLAYER_00031,"Received a MissingGameActionsRequest but the requesting player is not connected anymore"
ERROR_MULTIPLAYER_00032,"We are already connecting to a session"
ERROR_MULTIPLAYER_00033,"Error releasing a controllable. The player did not have control over it"
ERROR_MULTIPLAYER_00034,"Error releasing a controllable. The controllable returns null"
ERROR_MULTIPLAYER_00035,"No such player found"
ERROR_MULTIPLAYER_00036,"Attempted to select a card that was not in the players hand"
ERROR_MULTIPLAYER_00037,"Client state is out of synch with host state.  See log for details."
ERROR_MULTIPLAYER_00038,"Disconnected from the session"
ERROR_OBJECTPOOL_00001,"Error spawning an Object from the Object Pool"
ERROR_OBJECTPOOL_00002,"Error returning an Object to the Object Pool"
ERROR_PARTYADVENTUREDATA_00001,"Unable to end current scenario"
ERROR_RULESET_00001,"Failed to load Core Rulebase"
ERROR_RULESET_00002,"Failed to load Modded Rulebase"
ERROR_RUNTIME_00001,"Loading could not complete"
ERROR_RUNTIME_00002,"Loading scenario could not complete"
ERROR_RUNTIME_00003,"Post processing scenario could not complete"
ERROR_RUNTIME_00004,"Error occurred initialising scenario"
ERROR_SAVEDATA_00001,"Loading custom scenario data could not complete"
ERROR_SAVEDATA_00002,"Saving custom scenario data could not complete"
ERROR_SAVEDATA_00003,"Old save file data could not be converted"
ERROR_SAVEDATA_00004,"Party save file data has been modified or corrupted and could not load"
ERROR_SAVEDATA_00005,"The party save file data could not be saved"
ERROR_SAVEDATA_00006,"The save system has been updated, press OK to update your existing saves. This process may take several minutes – do not close the game during this process or you will corrupt your saves! You will need to re-enter your options menu settings when the process is complete."
ERROR_SAVEDATA_00007,"We have detected that your game has not been run for a while and needs a new Global Data file created (Don't worry, this is just your options settings – not your party save files). If that is the case, select 'Reset Save File', this may take a while to complete. If you have recently played the game, this could be a bug, please send an error report so we can investigate."
ERROR_SAVEDATA_00008,"The global save file data for the game requires resetting as the saved Steam User does not match"
ERROR_SAVEDATA_00009,"The party save file data could not be completely deleted"
ERROR_SAVEDATA_00010,"Party save file data has been modified or corrupted and could not load. No valid checkpoint data could be found, corrupted party data has been moved to the corrupted saves folder"
ERROR_SAVEDATA_00011,"Party save file data has been modified or corrupted and could not load. Reverted to previous checkpoint data, and corrupted party data has been moved to the corrupted saves folder"
ERROR_SAVEDATA_00012,"Map state data has been modified or corrupted and could not load. No valid checkpoint map state data could be found, corrupted map state data has been moved to the corrupted saves folder"
ERROR_SAVEDATA_00013,"Map state data has been modified or corrupted and could not load. Reverted to a previous checkpoint, and corrupted map state data has been moved to the corrupted saves folder"
ERROR_SAVEDATA_00014,"Map state file data could not be saved"
ERROR_SAVEDATA_00015,"Unable to revert to previous Map State checkpoint data, returning to main menu."
ERROR_SAVEDATA_00016,"Loading deprecated save file without ScenarioState"
ERROR_SAVEDATA_00017,"Unable to save GlobalData"
ERROR_SAVEDATA_00018,"Global Save Data Updated"
ERROR_SAVEDATA_00019,"Unable to load GlobalData"
ERROR_SAVEDATA_00020,"State Comparison Failed"
ERROR_SAVEDATA_00021,"The game was previously closed while the game was saving and map state data has corrupted. Reverted to a previous checkpoint, and corrupted map state data has been moved to the corrupted saves folder"
ERROR_SCENE_00001,"Loading could not complete"
ERROR_SCENE_00002,"The core data for the game has been modified or is corrupted.  Ensure the Rulebase folder in the games directory is unmodified and relaunch the game"
ERROR_SCENE_00002_MAC,"The core data for the game has been modified or is corrupted.  Ensure the Rulebase folder in the games directory is unmodified and relaunch the game.

<size=70%>If you are running the game on a Mac ensure that you have given Gloomhaven access to the files and folders it needs:

1. On your Mac, choose Apple menu > System Preferences, click Security & Privacy, then click Privacy.

2. Select Files and Folders.

3. Select the tickbox below an app to allow it to access files and folders in that location.

4. Relaunch Gloomhaven</size>"
ERROR_SCENE_00003,"No monster Attack Modifier Deck has been defined within the game YML.  It is not possible to play without a monster Attack Modifier deck"
ERROR_SCENE_00004,"Could not show loading screen"
ERROR_SCENE_00005,"Could not disable loading screen"
ERROR_SCENE_00006,"Could not load main menu"
ERROR_SCENE_00007,"Could not start campaign"
ERROR_SCENE_00008,"Could not start scenario"
ERROR_SCENE_00009,"Could not start random scenario"
ERROR_SCENE_00010,"Could not start adventure map"
ERROR_SCENE_00011,"Could not start adventure scenario"
ERROR_SCENE_00012,"Could not resume adventure scenario"
ERROR_SCENE_00013,"Could not process adventure map loaded"
ERROR_SCENE_00014,"Could not activate village"
ERROR_SCENE_00015,"Could not unload village"
ERROR_SCENE_00016,"Could not start tutorial"
