Keys,"English [en-GB]"
ADVENTURE_ACHIEVEMENT_1_4_KillSpittingDrakes_1,"Toothless?"
ADVENTURE_ACHIEVEMENT_1_4_KillSpittingDrakes_1_DESC,"Kill 10 Spitting Drakes"
ADVENTURE_ACHIEVEMENT_1_4_KillSpittingDrakes_2,"The Red Death"
ADVENTURE_ACHIEVEMENT_1_4_KillSpittingDrakes_2_DESC,"Kill 75 Spitting Drakes"
ADVENTURE_ACHIEVEMENT_1_4_KillSunDemons_1,"Nightmare"
ADVENTURE_ACHIEVEMENT_1_4_KillSunDemons_1_DESC,"Kill 10 Sun Demons"
ADVENTURE_ACHIEVEMENT_1_4_KillSunDemons_2,"Nightbringer"
ADVENTURE_ACHIEVEMENT_1_4_KillSunDemons_2_DESC,"Kill 75 Sun Demons"
ADVENTURE_ACHIEVEMENT_1_4_UnlockLocations,"The Great Wild"
ADVENTURE_ACHIEVEMENT_1_4_UnlockLocations_Desc,"Reach Eaglecrest"
ADVENTURE_ACHIEVEMENT_1_5_KillNightDemonLight,"Champion of Dawn"
ADVENTURE_ACHIEVEMENT_1_5_KillNightDemonLight_Desc,"Kill 20 Night Demons while Light is Infused"
ADVENTURE_ACHIEVEMENT_1_5_KillStoneGolems_1,"Sledgehammer"
ADVENTURE_ACHIEVEMENT_1_5_KillStoneGolems_1_DESC,"Kill 10 Stone Golems"
ADVENTURE_ACHIEVEMENT_1_5_KillStoneGolems_2,"Bulldozer"
ADVENTURE_ACHIEVEMENT_1_5_KillStoneGolems_2_DESC,"Kill 50 Stone Golems"
ADVENTURE_ACHIEVEMENT_1_5_KillSunDemonDark,"Champion of Twilight"
ADVENTURE_ACHIEVEMENT_1_5_KillSunDemonDark_Desc,"Kill 20 Sun Demons while Dark is Infused"
ADVENTURE_ACHIEVEMENT_1_5_TrapKills,"Walk this way"
ADVENTURE_ACHIEVEMENT_1_5_TrapKills_Desc,"Kill 20 Enemies with Traps"
ADVENTURE_ACHIEVEMENT_1_5_UnlockLocations,"Journey there and back again"
ADVENTURE_ACHIEVEMENT_1_5_UnlockLocations_Desc,"Reach Wildspire"
ADVENTURE_ACHIEVEMENT_2_1_HealPoisonWound,"I'm not dead yet!"
ADVENTURE_ACHIEVEMENT_2_1_HealPoisonWound_Desc,"Heal Poison or Wound 40 times"
ADVENTURE_ACHIEVEMENT_2_1_InfuseElements,"Elementary"
ADVENTURE_ACHIEVEMENT_2_1_InfuseElements_Desc,"Infuse 100 Elements"
ADVENTURE_ACHIEVEMENT_2_1_KillEarthDemons_1,"Miner Inconvenience"
ADVENTURE_ACHIEVEMENT_2_1_KillEarthDemons_1_Desc,"Kill 10 Earth Demons"
ADVENTURE_ACHIEVEMENT_2_1_KillEarthDemons_2,"Stone Mason"
ADVENTURE_ACHIEVEMENT_2_1_KillEarthDemons_2_Desc,"Kill 75 Earth Demons"
ADVENTURE_ACHIEVEMENT_2_1_KillFlameDemons_1,"Snuff Out"
ADVENTURE_ACHIEVEMENT_2_1_KillFlameDemons_1_Desc,"Kill 10 Flame Demons"
ADVENTURE_ACHIEVEMENT_2_1_KillFlameDemons_2,"Reduce to Ashes"
ADVENTURE_ACHIEVEMENT_2_1_KillFlameDemons_2_Desc,"Kill 75 Flame Demons"
ADVENTURE_ACHIEVEMENT_2_1_KillFrostDemons_1,"Cold Shoulder"
ADVENTURE_ACHIEVEMENT_2_1_KillFrostDemons_1_Desc,"Kill 10 Frost Demons"
ADVENTURE_ACHIEVEMENT_2_1_KillFrostDemons_2,"Freezer Burn"
ADVENTURE_ACHIEVEMENT_2_1_KillFrostDemons_2_Desc,"Kill 75 Frost Demons"
ADVENTURE_ACHIEVEMENT_2_1_KillSavvasIcestorms_1,"Ice to Meet You"
