Keys,"English [en-GB]"
LOADING_TIP_035,"Muddle <sprite name=Muddle> causes a character to gain Disadvantage on all attacks until the end of their next turn."
LOADING_TIP_036,"Curse <sprite name=Curse> adds a CURSE (x0) card to the target's attack modifier deck. When drawn, the attack deals no damage, and the CURSE is removed from the deck."
LOADING_TIP_037,"Invisible <sprite name=Invisible> characters cannot be focused nor targeted by enemies until the end of their next turn. Monsters treat invisible characters as if they were obstacles. "
LOADING_TIP_038,"Invisible <sprite name=Invisible> characters can still be damaged by non-targeted damage. Invisibility has no effect on interactions with allies."
LOADING_TIP_039,"Strengthen <sprite name=Strengthen> grants a character Advantage on all their attacks until the end of their next turn."
LOADING_TIP_040,"Bless <sprite name=Bless> adds a BLESS (x2) card to the target's attack modifier deck. When drawn, the attack deals double damage, and the BLESS is removed from the deck."
LOADING_TIP_041,"Monsters share an attack modifier deck, so if a monster receives a Curse or Bless, it could be another monster that draws that effect!"
LOADING_TIP_042,"Note that abilities that remove negative conditions, such as Cure potions, can not remove Curses from the attack modifier deck."
LOADING_TIP_043,"There is a 10 Curse limit shared between mercenary attack modifier decks, and another separate limit of 10 for the monster attack modifier deck. Trying to add an 11th Curse to any deck will have no effect!"
LOADING_TIP_044,"There is a shared 10 Bless limit among all attack modifier decks. Trying to add a Bless to any attack modifier deck while 10 Blesses are already in play will have no effect!"
LOADING_TIP_045,"Down to only a pair of discarded cards? Short Resting would lead to exhaustion; consider Long Resting and be a meat shield!"
LOADING_TIP_046,"Stay hydrated!"
LOADING_TIP_047,"You can press the 1-4 number keys to display all of the corresponding character's cards at once on screen."
LOADING_TIP_048,"If a non-aggressive character is attempting to move to a location but the route is blocked, then that character will not move."
LOADING_TIP_049,"It's up to you whether to have 2, 3 or 4 mercenaries in your party – the difficulty of a scenario will scale based on how many you bring along."
LOADING_TIP_050,"Choices made during Road and City Events can affect the world, potentially causing new quests and events to become available."
LOADING_TIP_051,"You can use Ctrl+Click to ping a tile in Multiplayer."
LOADING_TIP_052,"Unlike normal chests, you do not get to keep quest items looted from Ornate Chests if you fail the scenario."
LOADING_TIP_053,"Summons can only be summoned onto empty hexes - traps, difficult terrain and even gold will block summons!"
LOCKED_DOOR_TOOLTIP,"Locked Door"
LabyrinthofChaos,"Labyrinth of Chaos"
LavaGolem,"Lava Golem"
LingeringSwamp,"Lingering Swamp"
LivingBomb,"Living Bomb"
LivingBones,"Living Bones"
LivingBonesElite,"Living Bones Elite"
LivingCorpse,"Living Corpse"
LivingCorpseElite,"Living Corpse Elite"
LivingSpirit,"Living Spirit"
LivingSpiritElite,"Living Spirit Elite"
LoggingCamp,"Logging Camp"
LoggingCamp_DESCR,"This camp has been recently deserted after a number of Inox raids from the nearby Forest. A hastily-purposed field to the south bears witness to this fact, with a large number of wooden crosses sticking out of the ground."
LongRest_Burn,"Burn <sprite name=Lost> one discarded<br>card to recover all other discarded cards."
LongRest_Footer,"By choosing to Long Rest you will not be able to select another card for this round."
LongRest_Heal,"<size=130%><b>Heal <sprite name=Heal> 2</b></size><br>Self"
LongRest_Refresh,"Refresh <sprite name=Refresh> all of your spent <nobr>Item cards.</nobr>"
Loot,"Loot"
LostCatacombs,"Lost Catacombs"
LostCrypt,"Lost Crypt"
Lowtown,"Lowtown"
Lowtown_DESCR,"Lowtown houses the descendants of the refugees from the great war. Some have worked out how to make a living, many haven't. Life is cheap here, and some shops are too, but don't expect to find powerful magical artifacts."
Lurker,"Lurker"
LurkerElite,"Lurker Elite"
LurkerKing,"Lurker King"
MINDERER,"Minderer"
ManaSphere,"Mana Sphere"
MarcellusSC-Regular SDF,"MarcellusSC-Regular"
MedPack,"This card cannot be burned to avoid suffering damage. When this card is discarded for any reason, return it to the Sawbone's supply."
Medium,"Medium"
MeleDPS,"Melee DPS"
MeleSupport,"Melee Support"
MeleTank,"Melee Tank"
MerchantDialogName,"Merchant"
MercilessOverseer,"Merciless Overseer"
Message_Complete_Achievement_1_1_BeastTyrantReachLevel2_1,"The Beast Tyrant has come to me with information that Rot is spreading across the land."
Message_Complete_Achievement_1_1_BeastTyrantReachLevel2_2,"He is able to converse with some small communities of wild creatures and he has offered our help."
Message_Complete_Achievement_1_1_BeastTyrantReachLevel2_3,"That was kind of him!"
Message_Complete_Achievement_1_1_BeastTyrantReachLevel2_4,"In response, they will help us against the Rot, it starts near Sweetwater."
