Keys,"English [en-GB]"
PERSONALQUEST_Take_Back_the_Trees_Objective_Desc,"Complete 3 different scenarios in the Dagger Forest. Then unlock the scenario ""Foggy Thicket"" and follow it to a conclusion."
PERSONALQUEST_Take_Back_the_Trees_Objective_PROGRESS_TOOLTIP,"""Dagger Forest"" scenarios completed:"
PERSONALQUEST_Take_Back_the_Trees_Objective_PROGRESS_TOOLTIP_EMPTY,"No ""Dagger Forest"" scenarios completed yet."
PERSONALQUEST_Take_Back_the_Trees_Objective_Step0_Desc,"Complete 3 different scenarios in the Dagger Forest"
PERSONALQUEST_Take_Back_the_Trees_Objective_Step1_Desc,"Follow the scenario ""Foggy Thicket"" to a conclusion"
PERSONALQUEST_Take_Back_the_Trees_Objective_Step2_Desc,"Follow the scenario ""Bandit's Wood"" to a conclusion"
PERSONALQUEST_Take_Back_the_Trees_PROGRESS_COMPLETED_STEP_0,"You had almost convinced yourself that it wasn’t real, that you had just seen what you wanted to. Back within those trees though, you know what you saw: a way to find those that slaughtered your village and set things right. A way to take back the trees."
PERSONALQUEST_The_Fall_of_Man,"The Fall of Man"
PERSONALQUEST_The_Fall_of_Man_COMPLETED,"After solving such a tragic mystery within Gloomhaven’s history, and freeing the souls from their ancient fate, you feel a sense of duty begin to mix with your curiosity. You bid farewell to the other mercenaries, and plan to devote yourself to not only learning more about those that came before, but to liberating any others trapped by interplanar magics. Whatever you might uncover, you are now sure that more of those stuck between planes are in this city than anyone had imagined."
PERSONALQUEST_The_Fall_of_Man_Desc,"<b>Complete 2 different scenarios in the Lingering Swamp. Then unlock ""Fading Lookout"" and follow it to a conclusion.</b> 

The evidence is all around you — right in front of your face, as long as you know how to look for it. Cities built on the bones of something much older. Others were here before you, and then they vanished. You must find some clue about what happened to the ones who came before."
PERSONALQUEST_The_Fall_of_Man_Objective_Desc,"Complete 2 different scenarios in the Lingering Swamp. Then unlock ""Fading Lookout"" and follow it to a conclusion"
PERSONALQUEST_The_Fall_of_Man_Objective_PROGRESS_TOOLTIP,"""Lingering Swamp"" scenarios completed:"
PERSONALQUEST_The_Fall_of_Man_Objective_PROGRESS_TOOLTIP_EMPTY,"No ""Lingering Swamp"" scenarios completed yet."
PERSONALQUEST_The_Fall_of_Man_Objective_Step0_Desc,"Complete two different scenarios in the Lingering Swamp"
PERSONALQUEST_The_Fall_of_Man_Objective_Step1_Desc,"Follow ""Fading Lookout"" to a conclusion"
PERSONALQUEST_The_Fall_of_Man_Objective_Step2_Desc,"Follow ""Pit of Souls"" to a conclusion"
PERSONALQUEST_The_Fall_of_Man_PROGRESS_COMPLETED_STEP_0,"No, it wasn’t your mind playing tricks on you, nor the ill-effects of the magic cast against you, or even the strange smells of the swamp. You know what you saw, and you know what it means — even if it had only been for a second, you had seen something left behind by the ones who came before. It is up to you to find it again, and uncover the mysteries inside. "
PERSONALQUEST_The_Perfect_Poison,"The Perfect Poison"
PERSONALQUEST_The_Perfect_Poison_COMPLETED,"It’s finished. There’s never been such a masterful concoction, such a beautiful toxin. Gloomhaven’s exotic creatures are truly some of nature’s finest achievements, and they have now allowed you to make your finest achievement: the perfect poison. You’re not sure why or how though, but you can’t help feeling like you’ve perhaps gone too far, like you’ve brought a sickness down on this city, a plague. You decide it best to leave, and escape the consequences of your actions."
PERSONALQUEST_The_Perfect_Poison_Desc,"<b>Kill 3 Oozes, 3 Lurkers, and 3 Spitting Drakes.</b> 

Creating poison is an art. So many ways to die, so many ways to paint a canvas. You’ve been happy with your work up until now, but this will be your masterpiece. There are rumors of exotic creatures in the lands around Gloomhaven. If you could just collect a few samples, then you could craft a poison that will preserve your legacy."
PERSONALQUEST_The_Perfect_Poison_Objective_Desc,"Kill 3 Oozes, 3 Lurkers, and 3 Spitting Drakes"
PERSONALQUEST_The_Perfect_Poison_Objective_PROGRESS_TOOLTIP,"Oozes, Lurkers, and Spitting Drakes killed:"
PERSONALQUEST_The_Perfect_Poison_Objective_PROGRESS_TOOLTIP_EMPTY,"No Oozes, Lurkers, and Spitting Drakes killed yet."
PERSONALQUEST_The_Thin_Places,"The Thin Places"
PERSONALQUEST_The_Thin_Places_COMPLETED,"Though you did what you could, the air remains thinner than ever. What you have learnt, however, is that there is something on the other side, something watching Gloomhaven, toying with it. Until you know more, there is nothing you can do — so you hastily leave your fellow mercenaries, departing from this city in search of the right knowledge to save it. One thing is for certain: those that live between planes are not finished with Gloomhaven yet..."
PERSONALQUEST_The_Thin_Places_Desc,"<b>Complete 6 side scenarios from the base game.</b> 

The air is thin in Gloomhaven. Well, not the air exactly, but whatever is behind the air... Like there is something on the other side, pressing and scratching to get out. This troubles you greatly. You have decided to travel to a number of locations in the surrounding area and study this phenomenon further. With luck, the air won’t get any thinner."
PERSONALQUEST_The_Thin_Places_Objective_Desc,"Complete 6 side scenarios from the base game"
PERSONALQUEST_The_Thin_Places_Objective_PROGRESS_TOOLTIP,"Side scenarios completed:"
PERSONALQUEST_The_Thin_Places_Objective_PROGRESS_TOOLTIP_EMPTY,"No side scenarios completed yet."
PERSONALQUEST_Trophy_Hunt,"Trophy Hunt"
PERSONALQUEST_Trophy_Hunt_COMPLETED,"Oh, the things you’ve killed. When you started this adventure, you had no idea what creatures lurked in the dark, what trials they would provide. You’ve killed things you never thought you would, or even could, but now you’ve seen everything Gloomhaven has to offer and you’re pretty sure there are no more beasts here that could possibly challenge you. You fill up a small cart with your trophies and leave Gloomhaven to continue the hunt."
PERSONALQUEST_Trophy_Hunt_Desc,"<b>Kill 20 different types of monsters from the base game.</b> 

You remember that very first time an arrow shot from your bow and pierced the heart of a deer, killing it instantly. That feeling of besting your prey on its own turf. But deer are such easy prey. There is far more challenging game out there in the wilds, and you want to experience it all. You do not hunt in order to kill. You kill because it is part of the hunt."
PERSONALQUEST_Trophy_Hunt_Objective_Desc,"Kill 20 different types of monsters from the base game"
PERSONALQUEST_Trophy_Hunt_Objective_PROGRESS_TOOLTIP,"Monster types killed:"
PERSONALQUEST_Trophy_Hunt_Objective_PROGRESS_TOOLTIP_EMPTY,"No monsters killed yet."
PERSONALQUEST_Vengeance,"Vengeance"
PERSONALQUEST_Vengeance_COMPLETED,"Emptiness is something you never planned for. Ever since that day at the shack, you’ve been unable to shake that numb, hollow feeling. Vengeance for your best friend was meant to make you feel whole again, but it’s only deprived you of your motivation, your sense of self. It is time to leave Gloomhaven, you decide, and search for yourself out on the open road; you’ve had enough mysteries for one lifetime."
PERSONALQUEST_Vengeance_Desc,"<b>Complete 4 different base game scenarios in Gloomhaven.</b> 

When you close your eyes, you can still see the two of you as children, happily at play. When you open your eyes, however, all you see is your best friend dead. The guards claim it was an accident, but you know different. The guilty must be found and vengeance exacted. Sometimes blood begets blood."
PERSONALQUEST_Vengeance_Objective_Desc,"Complete 4 different base game scenarios in Gloomhaven. Then unlock the scenario ""Investigation"" and follow it to a conclusion."
PERSONALQUEST_Vengeance_Objective_PROGRESS_TOOLTIP,"City scenarios within Gloomhaven completed:"
PERSONALQUEST_Vengeance_Objective_PROGRESS_TOOLTIP_EMPTY,"No city scenarios completed yet."
PERSONALQUEST_Vengeance_Objective_Step0_Desc,"Complete 4 different base game scenarios in Gloomhaven"
