Keys,"English [en-GB]"
Scenario_Campaign_030_Objective_1,"Loot the Ornate Chest with a Loot action (not end-of-turn looting)"
Scenario_Campaign_030_Success_1,"You grab hold of the scepter and the entire building shudders violently. A dark energy bursts forth, piercing through the chests of the monsters still attacking you. They all fall over dead and the shuddering stops."
Scenario_Campaign_030_Success_2,"As you get back to your feet, however, a sharp pain suddenly pierces your skull. "
Scenario_Campaign_030_Success_3,"“You have been misled,” the Voice speaks into your mind. “Do not bring that scepter to me! If you free me, I guarantee no harm will come to you."" "
Scenario_Campaign_030_Success_4,"""But I cannot say the same if you approach with the scepter. Whatever you think you are doing, you are wrong.”"
Scenario_Campaign_030_Success_5,"As quickly as it came, the pain stops. You tighten your grip on the scepter and race out of the shrine, eager to bring it to the Echo Chamber and silence the Voice."
Scenario_Campaign_031_Objective_1,"Destroy the rock column"
Scenario_Campaign_031_RockColumn,"Rock Column"
Scenario_Campaign_031_Room_3_1,"Just as you are beginning to think that Hail sent you to the wrong place, you gratefully see the outline of a tower in the distance. "
Scenario_Campaign_031_Room_3_2,"The thing is massive, with twisting ropes of darkness weaving in and out of one another, reaching up through an opening in the cavern ceiling above you."
Scenario_Campaign_031_Success_1,"With one last swing, the tower of black rope severs. The strands writhe and whip around, quickly ascending out of the cave, as if falling away up into the sky. "
Scenario_Campaign_031_Success_2,"The ground shudders. Cracks form beneath your feet, and there is a loud grating noise as the whole chamber shifts and begins to crash downward."
Scenario_Campaign_032_Objective_1,"Reach the back of the Harrowers' shack"
Scenario_Campaign_032_Objective_2,"Kill all revealed enemies "
Scenario_Campaign_032_Objective_3,"Loot the vessel from the Harrowers' coffers"
Scenario_Campaign_032_Success_1,"The Harrowers proved quite difficult to take down, but in the end they fell just like any other foe. "
Scenario_Campaign_032_Success_2,"Feeling the rot of the place seeping into your bones, you hurriedly ransack the dwelling and locate the small earthen pot shown to you by the Voice."
Scenario_Campaign_032_Success_3,"When you pick it up, the Voice fills your head. “Good! Yes, excellent! The infesters were but one guardian employed to block my passage. I give you now the second location. Please bring the vessels back to me. I will reward you greatly.”"
Scenario_Campaign_033_Objective_1,"Loot all Ornate Chests"
Scenario_Campaign_033_Objective_2,"All mercenaries must escape through the exit"
Scenario_Campaign_033_Room_4_1,"You hear the alarm ringing clearly in the distance. You’ve kicked over a hornets’ nest and it’s just a matter of time before you are swarmed."
Scenario_Campaign_033_Room_4_2,"You enter the inner chamber and scan the room. There’s a lot of treasure here. Best just to grab it all."
Scenario_Campaign_033_SCENARIO_MODIFIER_1,"The door to the final room will open once all pressure plates have been activated simultaneously. "
Scenario_Campaign_033_Success_1,"You round the corner just as a ball of fire flies in your direction. It explodes on the far wall and collapses the tunnel behind you. "
Scenario_Campaign_033_Success_2,"You break into a full sprint and, within minutes, emerge from the mountain and continue speeding into the surrounding foothills. "
Scenario_Campaign_034_Objective_1,"Kill the Elder Drake"
Scenario_Campaign_034_Success_1,"With one final blood-curdling screech, the giant drake falls off its perch and crashes to the snowy ground. It appears to still be alive, but its breaths are weak and shallow.
"
Scenario_Campaign_034_Success_2,"“Bloodthirsty and obtuse. I don’t know why I should have expected more,” the drake whispers. “Congratulations on your stunning success."""
Scenario_Campaign_034_Success_3,"""I’m sure you will be heralded as heroes upon your triumphant return. Adorned in crowns of gold and cloaks of silk. Riches will be laden upon you and five thousand...”"
Scenario_Campaign_034_Success_4,"The drake’s whispers trail off and the breathing stops. "
Scenario_Campaign_035_Objective_1,"Destroy the door"
Scenario_Campaign_035_Objective_2,"Kill the Captain of the Guard"
Scenario_Campaign_035_Room_2_1,"As you hack away at the wooden door, an explosion erupts from it, sending gouts of flame dancing among splinters of wood and shards of rock."
Scenario_Campaign_035_Room_2_2,"A shock wave blows you from your feet and you recover to see nothing but billowing smoke where the door once was. The way is clear. Now it’s time to bring down the Captain."
Scenario_Campaign_035_Start_1,"“Take my place at the head of my army. Crush this wall and bring me that human’s head!”"
Scenario_Campaign_035_Success_1,"“Traitorous idiots!” The Captain spits blood in your face. “You’ve doomed everyone in this town! Why would you do this?”"
